,season,week,date,awayteam,hometeam,stadium,location,winner,proba_away,proba_home
57,2022,7,2022-10-23,Chiefs,49ers,Levi's Stadium,"Santa Clara, CA",0,0.7309,0.2691
58,2022,7,2022-10-23,Steelers,Dolphins,Hard Rock Stadium,"Miami Gardens, FL",0,0.597,0.403
59,2022,7,2022-10-24,Bears,Patriots,Gillette Stadium,"Foxboro, MA",0,0.5998,0.4002
60,2022,4,2022-09-29,Dolphins,Bengals,Paycor Stadium,"Cincinnati, OH",0,0.597,0.403
61,2022,4,2022-10-02,Vikings,Saints,Tottenham Hotspur Stadium,London,0,0.6059,0.3941
62,2022,4,2022-10-02,Browns,Falcons,Mercedes-Benz Stadium,"Atlanta, GA",0,0.6134,0.3866
63,2022,4,2022-10-02,Washington,Cowboys,AT&T Stadium,"Arlington, TX",0,0.597,0.403
64,2022,4,2022-10-02,Seahawks,Lions,Ford Field,"Detroit, MI",0,0.597,0.403
65,2022,4,2022-10-02,Titans,Colts,Lucas Oil Stadium,"Indianapolis, IN",0,0.597,0.403
66,2022,4,2022-10-02,Bears,Giants,MetLife Stadium,"East Rutherford, NJ",0,0.6159,0.3841
67,2022,4,2022-10-02,Jaguars,Eagles,Lincoln Financial Field,"Philadelphia, PA",1,0.4555,0.5445
68,2022,4,2022-10-02,Jets,Steelers,Acrisure Stadium,"Pittsburgh, PA",1,0.4844,0.5156
69,2022,4,2022-10-02,Bills,Ravens,M&T Bank Stadium,"Baltimore, MD",0,0.597,0.403
70,2022,4,2022-10-02,Chargers,Texans,NRG Stadium,"Houston, TX",0,0.6382,0.3618
71,2022,4,2022-10-02,Cardinals,Panthers,Bank of America Stadium,"Charlotte, NC",0,0.5926,0.4074
72,2022,4,2022-10-02,Patriots,Packers,Lambeau Field,"Green Bay, WI",0,0.5385,0.4615
73,2022,4,2022-10-02,Broncos,Raiders,Allegiant Stadium,"Las Vegas, NV",0,0.597,0.403
74,2022,3,2022-09-22,Steelers,Browns,FirstEnergy Stadium,"Cleveland, OH",0,0.597,0.403
75,2022,3,2022-09-25,Texans,Bears,Soldier Field,"Chicago, IL",0,0.597,0.403
76,2022,8,2022-10-27,Ravens,Buccaneers,Raymond James Stadium,"Tampa, FL",0,0.597,0.403
77,2022,8,2022-10-30,Broncos,Jaguars,Wembley Stadium,London,0,0.7391,0.2609
78,2022,8,2022-10-30,Panthers,Falcons,Mercedes-Benz Stadium,"Atlanta, GA",0,0.6134,0.3866
79,2022,4,2022-10-02,Chiefs,Buccaneers,Raymond James Stadium,"Tampa, FL",0,0.7309,0.2691
80,2022,4,2022-10-03,Rams,49ers,Levi's Stadium,"Santa Clara, CA",0,0.6688,0.3312
81,2022,1,2022-09-08,Bills,Rams,SoFi Stadium,"Inglewood, CA",0,0.5555,0.4445
82,2022,1,2022-09-11,Saints,Falcons,Mercedes-Benz Stadium,"Atlanta, GA",0,0.7982,0.2018
