,season,week,awayteam,hometeam,awayscore,homescore,idgame,score_abs,winner_home,winner_away,winner_team,concat,home_coach,away_coach,location,weather_type,temperature,humidity,wind
15,2017,13,Lions,Ravens,20,44,400951680,24,1,0,Ravens,2017_13_Ravens_Lions,John Harbaugh,Jim Caldwell,Home,sunny,53,70,4
16,2017,13,Colts,Jaguars,10,30,400951713,20,1,0,Jaguars,2017_13_Jaguars_Colts,Doug Marrone,Chuck Pagano,Home,cloudy,7,74,7
17,2017,13,Chiefs,Jets,31,38,400951726,7,1,0,Jets,2017_13_Jets_Chiefs,Todd Bowles,Andy Reid,Home,cloudy,48,64,0
18,2017,13,Broncos,Dolphins,9,35,400951718,26,1,0,Dolphins,2017_13_Dolphins_Broncos,Adam Gase,Vance Joseph,Home,cloudy,8,58,11
19,2017,13,Texans,Titans,13,24,400951728,11,1,0,Titans,2017_13_Titans_Texans,Mike Mularkey,Bill O'Brien,Home,sunny,6,39,4
20,2017,13,Buccaneers,Packers,20,26,400951710,6,1,0,Packers,2017_13_Packers_Buccaneers,Mike McCarthy,Dirk Koetter,Home,cloudy,42,67,8
21,2017,4,Saints,Dolphins,20,0,400950241,-20,0,1,Saints,2017_04_Dolphins_Saints,Adam Gase,Sean Payton,Neutral,cloudy,63,64,13
22,2017,4,Bills,Falcons,23,17,400951685,-6,0,1,Bills,2017_04_Falcons_Bills,Dan Quinn,Sean McDermott,Home,cloudy,68,70,5
23,2017,4,Bengals,Browns,31,7,400951712,-24,0,1,Bengals,2017_04_Browns_Bengals,Hue Jackson,Marvin Lewis,Home,sunny,63,37,6
24,2017,13,49ers,Bears,15,14,400951707,-1,0,1,49ers,2017_13_Bears_49ers,John Fox,Kyle Shanahan,Home,sunny,54,44,6
25,2017,13,Patriots,Bills,23,3,400951684,-20,0,1,Patriots,2017_13_Bills_Patriots,Sean McDermott,Bill Belichick,Home,cloudy,48,73,13
26,2017,6,Colts,Titans,22,36,400951785,14,1,0,Titans,2017_06_Titans_Colts,Mike Mularkey,Chuck Pagano,Home,cloudy,57,55,7
27,2017,13,Washington,Cowboys,14,38,400951672,24,1,0,Cowboys,2017_13_Cowboys_Washington,Jason Garrett,Jay Gruden,Home,cloudy,58,56,3
28,2017,9,Lions,Packers,30,17,400951790,-13,0,1,Lions,2017_09_Packers_Lions,Mike McCarthy,Jim Caldwell,Home,cloudy,35,58,3
29,2017,12,Texans,Ravens,16,23,400951640,7,1,0,Ravens,2017_12_Ravens_Texans,John Harbaugh,Bill O'Brien,Home,fair,5,60,1
30,2017,9,Broncos,Eagles,23,51,400951760,28,1,0,Eagles,2017_09_Eagles_Broncos,Doug Pederson,Vance Joseph,Home,cloudy,61,89,5
31,2017,9,Rams,Giants,51,17,400951758,-34,0,1,Rams,2017_09_Giants_Rams,Ben McAdoo,Sean McVay,Home,cloudy,56,92,6
32,2017,9,Buccaneers,Saints,10,30,400951755,20,1,0,Saints,2017_09_Saints_Buccaneers,Sean Payton,Dirk Koetter,Home,cloudy,79,67,1
33,2017,9,Ravens,Titans,20,23,400951761,3,1,0,Titans,2017_09_Titans_Ravens,Mike Mularkey,John Harbaugh,Home,cloudy,75,66,10
34,2017,3,Saints,Panthers,34,13,400951587,-21,0,1,Saints,2017_03_Panthers_Saints,Ron Rivera,Sean Payton,Home,sunny,82,59,6
35,2017,3,Seahawks,Titans,27,33,400951623,6,1,0,Titans,2017_03_Titans_Seahawks,Mike Mularkey,Pete Carroll,Home,sunny,88,97,4
36,2017,3,Bengals,Packers,24,27,400951627,3,1,0,Packers,2017_03_Packers_Bengals,Mike McCarthy,Marvin Lewis,Home,sunny,89,44,8
37,2017,3,Chiefs,Chargers,24,10,400951634,-14,0,1,Chiefs,2017_03_Chargers_Chiefs,Anthony Lynn,Andy Reid,Home,sunny,84,25,5
38,2017,3,Raiders,Washington,10,27,400951644,17,1,0,Redskins,2017_03_Washington_Raiders,Jay Gruden,Jack Del Rio,Home,cloudy,76,75,0
