,week,awayteam,hometeam,pred_winner_team,real_winner,team,abbr,moneyline,money_bet,good_predict,pocket
64,5,49ers,Cardinals,49ers,Cardinals,SF,SF,190.0,100.0,No,-100.0
65,5,Bears,Raiders,Raiders,Bears,LV,LV,-240.0,100.0,No,-100.0
66,5,Bills,Chiefs,Bills,Bills,BUF,BUF,125.0,100.0,Yes,225.0
67,5,Broncos,Steelers,Steelers,Steelers,PIT,PIT,-110.0,100.0,Yes,190.9090909090909
68,5,Browns,Chargers,Browns,Chargers,CLE,CLE,115.0,100.0,No,-100.0
69,5,Colts,Ravens,Ravens,Ravens,BAL,BAL,-315.0,100.0,Yes,131.74603174603175
70,5,Dolphins,Buccaneers,Buccaneers,Buccaneers,TB,TB,-475.0,100.0,Yes,121.05263157894737
71,5,Eagles,Panthers,Eagles,Eagles,PHI,PHI,140.0,100.0,Yes,240.0
72,5,Giants,Cowboys,Cowboys,Cowboys,DAL,DAL,-315.0,100.0,Yes,131.74603174603175
73,5,Jets,Falcons,Falcons,Falcons,ATL,ATL,-140.0,100.0,Yes,171.42857142857144
74,5,Lions,Vikings,Vikings,Vikings,MIN,MIN,-450.0,100.0,Yes,122.22222222222223
75,5,Packers,Bengals,Bengals,Packers,CIN,CIN,135.0,100.0,No,-100.0
76,5,Patriots,Texans,Patriots,Patriots,NE,NE,-410.0,100.0,Yes,124.39024390243902
77,5,Rams,Seahawks,Rams,Rams,LAR,LAR,-145.0,100.0,Yes,168.9655172413793
78,5,Saints,Washington,Saints,Saints,NO,NO,-140.0,100.0,Yes,171.42857142857144
79,5,Titans,Jaguars,Titans,Titans,TEN,TEN,-205.0,100.0,Yes,148.78048780487805
80,6,Bengals,Lions,Bengals,Bengals,CIN,CIN,-180.0,100.0,Yes,155.55555555555554
81,6,Bills,Titans,Titans,Titans,TEN,TEN,210.0,100.0,Yes,310.0
82,6,Buccaneers,Eagles,Eagles,Buccaneers,PHI,PHI,250.0,100.0,No,-100.0
83,6,Cardinals,Browns,Cardinals,Cardinals,ARI,ARI,160.0,100.0,Yes,260.0
84,6,Chargers,Ravens,Ravens,Ravens,BAL,BAL,-145.0,100.0,Yes,168.9655172413793
85,6,Chiefs,Washington,Chiefs,Chiefs,KC,KC,-290.0,100.0,Yes,134.48275862068965
86,6,Cowboys,Patriots,Cowboys,Cowboys,DAL,DAL,-175.0,100.0,Yes,157.14285714285714
87,6,Dolphins,Jaguars,Jaguars,Jaguars,JAX,JAX,140.0,100.0,Yes,240.0
88,6,Packers,Bears,Packers,Packers,GB,GB,-230.0,100.0,Yes,143.47826086956522
89,6,Raiders,Broncos,Broncos,Raiders,DEN,DEN,-185.0,100.0,No,-100.0
90,6,Rams,Giants,Rams,Rams,LAR,LAR,-450.0,100.0,Yes,122.22222222222223
91,6,Seahawks,Steelers,Steelers,Steelers,PIT,PIT,-225.0,100.0,Yes,144.44444444444446
92,6,Texans,Colts,Colts,Colts,IND,IND,-445.0,100.0,Yes,122.47191011235955
93,6,Vikings,Panthers,Vikings,Vikings,MIN,MIN,-135.0,100.0,Yes,174.07407407407408
94,7,Bears,Buccaneers,Buccaneers,Buccaneers,TB,TB,-750.0,100.0,Yes,113.33333333333333
95,7,Bengals,Ravens,Ravens,Bengals,BAL,BAL,-280.0,100.0,No,-100.0
96,7,Broncos,Browns,Browns,Browns,CLE,CLE,-125.0,100.0,Yes,180.0
97,7,Chiefs,Titans,Chiefs,Titans,KC,KC,-220.0,100.0,No,-100.0
98,7,Colts,49ers,Colts,Colts,IND,IND,175.0,100.0,Yes,275.0
99,7,Eagles,Raiders,Raiders,Raiders,LV,LV,-155.0,100.0,Yes,164.51612903225805
100,7,Falcons,Dolphins,Falcons,Falcons,ATL,ATL,-135.0,100.0,Yes,174.07407407407408
101,7,Jets,Patriots,Patriots,Patriots,NE,NE,-310.0,100.0,Yes,132.25806451612902
102,7,Lions,Rams,Rams,Rams,LAR,LAR,-1105.0,100.0,Yes,109.0497737556561
