,season,week,date,awayteam,hometeam,stadium,location,winner,proba_away,proba_home
56,2022,7,2022-10-23,Seahawks,Chargers,SoFi Stadium,"Inglewood, CA",0,0.549,0.451
57,2022,7,2022-10-23,Chiefs,49ers,Levi's Stadium,"Santa Clara, CA",0,0.7447,0.2553
58,2022,7,2022-10-23,Steelers,Dolphins,Hard Rock Stadium,"Miami Gardens, FL",0,0.533,0.467
59,2022,7,2022-10-24,Bears,Patriots,Gillette Stadium,"Foxboro, MA",1,0.322,0.678
60,2022,4,2022-09-29,Dolphins,Bengals,Paycor Stadium,"Cincinnati, OH",0,0.5081,0.4919
61,2022,4,2022-10-02,Vikings,Saints,Tottenham Hotspur Stadium,London,1,0.2805,0.7195
62,2022,4,2022-10-02,Browns,Falcons,Mercedes-Benz Stadium,"Atlanta, GA",1,0.4511,0.5489
63,2022,4,2022-10-02,Washington,Cowboys,AT&T Stadium,"Arlington, TX",1,0.3261,0.6739
64,2022,4,2022-10-02,Seahawks,Lions,Ford Field,"Detroit, MI",0,0.7073,0.2927
65,2022,4,2022-10-02,Titans,Colts,Lucas Oil Stadium,"Indianapolis, IN",1,0.4656,0.5344
66,2022,4,2022-10-02,Bears,Giants,MetLife Stadium,"East Rutherford, NJ",0,0.7113,0.2887
67,2022,4,2022-10-02,Jaguars,Eagles,Lincoln Financial Field,"Philadelphia, PA",1,0.1681,0.8319
68,2022,4,2022-10-02,Jets,Steelers,Acrisure Stadium,"Pittsburgh, PA",1,0.1267,0.8733
69,2022,4,2022-10-02,Bills,Ravens,M&T Bank Stadium,"Baltimore, MD",1,0.452,0.548
70,2022,4,2022-10-02,Chargers,Texans,NRG Stadium,"Houston, TX",0,0.6412,0.3588
71,2022,4,2022-10-02,Cardinals,Panthers,Bank of America Stadium,"Charlotte, NC",0,0.6004,0.3996
72,2022,4,2022-10-02,Patriots,Packers,Lambeau Field,"Green Bay, WI",1,0.3478,0.6522
73,2022,4,2022-10-02,Broncos,Raiders,Allegiant Stadium,"Las Vegas, NV",1,0.3497,0.6503
74,2022,3,2022-09-22,Steelers,Browns,FirstEnergy Stadium,"Cleveland, OH",0,0.5711,0.4289
75,2022,3,2022-09-25,Texans,Bears,Soldier Field,"Chicago, IL",1,0.4264,0.5736
76,2022,8,2022-10-27,Ravens,Buccaneers,Raymond James Stadium,"Tampa, FL",0,0.582,0.418
77,2022,8,2022-10-30,Broncos,Jaguars,Wembley Stadium,London,0,0.5449,0.4551
78,2022,8,2022-10-30,Panthers,Falcons,Mercedes-Benz Stadium,"Atlanta, GA",0,0.5771,0.4229
79,2022,4,2022-10-02,Chiefs,Buccaneers,Raymond James Stadium,"Tampa, FL",0,0.6815,0.3185
80,2022,4,2022-10-03,Rams,49ers,Levi's Stadium,"Santa Clara, CA",0,0.6647,0.3353
81,2022,1,2022-09-08,Bills,Rams,SoFi Stadium,"Inglewood, CA",1,0.4529,0.5471
82,2022,1,2022-09-11,Saints,Falcons,Mercedes-Benz Stadium,"Atlanta, GA",0,0.8172,0.1828
83,2022,3,2022-09-25,Raiders,Titans,Nissan Stadium,"Nashville, TN",1,0.2846,0.7154
84,2022,3,2022-09-25,Chiefs,Colts,Lucas Oil Stadium,"Indianapolis, IN",0,0.7102,0.2898
85,2022,3,2022-09-25,Bills,Dolphins,Hard Rock Stadium,"Miami Gardens, FL",0,0.5541,0.4459
86,2022,3,2022-09-25,Lions,Vikings,U.S. Bank Stadium,"Minneapolis, MN",1,0.2932,0.7068
87,2022,3,2022-09-25,Ravens,Patriots,Gillette Stadium,"Foxboro, MA",1,0.4813,0.5187
88,2022,3,2022-09-25,Bengals,Jets,MetLife Stadium,"East Rutherford, NJ",1,0.3834,0.6166
89,2022,3,2022-09-25,Eagles,Washington,FedExField,"Landover, MD",0,0.593,0.407
90,2022,3,2022-09-25,Saints,Panthers,Bank of America Stadium,"Charlotte, NC",0,0.8339,0.1661
91,2022,3,2022-09-25,Jaguars,Chargers,SoFi Stadium,"Inglewood, CA",1,0.2261,0.7739
92,2022,3,2022-09-25,Rams,Cardinals,State Farm Stadium,"Glendale, AZ",0,0.791,0.209
93,2022,3,2022-09-25,Falcons,Seahawks,Lumen Field,"Seattle, WA",1,0.3542,0.6458
94,2022,3,2022-09-25,Packers,Buccaneers,Raymond James Stadium,"Tampa, FL",1,0.4431,0.5569
95,2022,3,2022-09-25,49ers,Broncos,Empower Field at Mile High,"Denver, CO",0,0.5265,0.4735
96,2022,8,2022-10-30,Bears,Cowboys,AT&T Stadium,"Arlington, TX",1,0.4452,0.5548
97,2022,8,2022-10-30,Dolphins,Lions,Ford Field,"Detroit, MI",0,0.5106,0.4894
98,2022,8,2022-10-30,Cardinals,Vikings,U.S. Bank Stadium,"Minneapolis, MN",1,0.3696,0.6304
99,2022,8,2022-10-30,Raiders,Saints,Caesars Superdome,"New Orleans, LA",1,0.2197,0.7803
100,2022,8,2022-10-30,Patriots,Jets,MetLife Stadium,"East Rutherford, NJ",0,0.717,0.283
101,2022,8,2022-10-30,Steelers,Eagles,Lincoln Financial Field,"Philadelphia, PA",1,0.4551,0.5449
102,2022,8,2022-10-30,Titans,Texans,NRG Stadium,"Houston, TX",0,0.6316,0.3684
103,2022,8,2022-10-30,Washington,Colts,Lucas Oil Stadium,"Indianapolis, IN",1,0.3298,0.6702
104,2022,8,2022-10-30,49ers,Rams,SoFi Stadium,"Inglewood, CA",1,0.342,0.658
105,2022,8,2022-10-30,Giants,Seahawks,Lumen Field,"Seattle, WA",1,0.2308,0.7692
106,2022,8,2022-10-30,Packers,Bills,Highmark Stadium,"Orchard Park, NY",1,0.4351,0.5649
107,2022,8,2022-10-31,Bengals,Browns,FirstEnergy Stadium,"Cleveland, OH",1,0.2683,0.7317
108,2022,1,2022-09-11,49ers,Bears,Soldier Field,"Chicago, IL",1,0.439,0.561
109,2022,1,2022-09-11,Steelers,Bengals,Paycor Stadium,"Cincinnati, OH",0,0.7035,0.2965
110,2022,1,2022-09-11,Eagles,Lions,Ford Field,"Detroit, MI",0,0.6325,0.3675
111,2022,1,2022-09-11,Patriots,Dolphins,Hard Rock Stadium,"Miami Gardens, FL",0,0.5615,0.4385
112,2022,1,2022-09-11,Ravens,Jets,MetLife Stadium,"East Rutherford, NJ",0,0.7734,0.2266
113,2022,1,2022-09-11,Jaguars,Washington,FedExField,"Landover, MD",1,0.3293,0.6707
114,2022,1,2022-09-11,Browns,Panthers,Bank of America Stadium,"Charlotte, NC",1,0.48,0.52
115,2022,1,2022-09-11,Colts,Texans,NRG Stadium,"Houston, TX",0,0.5476,0.4524
116,2022,1,2022-09-11,Giants,Titans,Nissan Stadium,"Nashville, TN",1,0.1783,0.8217
117,2022,1,2022-09-11,Packers,Vikings,U.S. Bank Stadium,"Minneapolis, MN",1,0.4218,0.5782
118,2022,1,2022-09-11,Chiefs,Cardinals,State Farm Stadium,"Glendale, AZ",0,0.8478,0.1522
119,2022,1,2022-09-11,Raiders,Chargers,SoFi Stadium,"Inglewood, CA",1,0.4274,0.5726
120,2022,3,2022-09-26,Cowboys,Giants,MetLife Stadium,"East Rutherford, NJ",0,0.6962,0.3038
121,2022,1,2022-09-11,Buccaneers,Cowboys,AT&T Stadium,"Arlington, TX",1,0.4581,0.5419
122,2022,1,2022-09-12,Broncos,Seahawks,Lumen Field,"Seattle, WA",1,0.2452,0.7548
123,2022,9,2022-11-03,Eagles,Texans,NRG Stadium,"Houston, TX",0,0.5986,0.4014
124,2022,9,2022-11-06,Chargers,Falcons,Mercedes-Benz Stadium,"Atlanta, GA",0,0.6239,0.3761
125,2022,9,2022-11-06,Dolphins,Bears,Soldier Field,"Chicago, IL",1,0.3327,0.6673
