model,cross_val_accuracy_avg,cross_val_accuracy_std,accuracy_score_test,target_variable,features_cat,features_num,features
"LogisticRegression(max_iter=200, random_state=0)",0.6188,0.0253,0.6434,winner_home,"Index(['awayteam', 'hometeam'], dtype='object')","Index(['rush_yds_MA_5_away', 'pass_yds_MA_5_home', 'defense_sacks_MA_5_home',
       'fumbles_rec_MA_5_away', 'streak_home', 'interceptions_MA_5_away',
       'rec_td_MA_5_home', 'defense_sacks_MA_5_away',
       'interceptions_MA_5_home', 'rush_yds_MA_5_home', 'defense_td_MA_5_away',
       'fumbles_MA_5_home', 'delta_day_home', 'defense_td_MA_5_home',
       'interceptions_td_MA_5_home', 'kicks_return_td_MA_5_home',
       'kicking_pts_MA_5_home', 'week'],
      dtype='object')","['awayteam', 'hometeam', 'rush_yds_MA_5_away', 'pass_yds_MA_5_home', 'defense_sacks_MA_5_home', 'fumbles_rec_MA_5_away', 'streak_home', 'interceptions_MA_5_away', 'rec_td_MA_5_home', 'defense_sacks_MA_5_away', 'interceptions_MA_5_home', 'rush_yds_MA_5_home', 'defense_td_MA_5_away', 'fumbles_MA_5_home', 'delta_day_home', 'defense_td_MA_5_home', 'interceptions_td_MA_5_home', 'kicks_return_td_MA_5_home', 'kicking_pts_MA_5_home', 'week']"
"LogisticRegression(max_iter=200, random_state=0)",0.6354,0.0243,0.6357,winner_home,"Index(['awayteam', 'hometeam', 'away_coach', 'location', 'stade'], dtype='object')","Index(['dayofmonth', 'defense_td_MA_5_away', 'delta_day_home',
       'rec_yds_MA_5_away', 'dayofweek', 'punt_return_yds_MA_5_home',
       'rec_yds_MA_5_home', 'kicks_return_td_MA_5_home',
       'interceptions_MA_5_away', 'temperature', 'fumbles_MA_5_away',
       'punt_return_yds_MA_5_away', 'pass_td_MA_5_home',
       'kicks_return_td_MA_5_away', 'week', 'pass_yds_MA_5_home',
       'rush_td_MA_5_away', 'streak_home', 'rush_yds_MA_5_home',
       'fumbles_MA_5_home', 'pass_yds_MA_5_away', 'humidity',
       'kicking_pts_MA_5_away'],
      dtype='object')","['awayteam', 'hometeam', 'dayofmonth', 'defense_td_MA_5_away', 'away_coach', 'delta_day_home', 'rec_yds_MA_5_away', 'dayofweek', 'punt_return_yds_MA_5_home', 'rec_yds_MA_5_home', 'kicks_return_td_MA_5_home', 'location', 'interceptions_MA_5_away', 'temperature', 'fumbles_MA_5_away', 'punt_return_yds_MA_5_away', 'pass_td_MA_5_home', 'kicks_return_td_MA_5_away', 'week', 'pass_yds_MA_5_home', 'rush_td_MA_5_away', 'streak_home', 'rush_yds_MA_5_home', 'fumbles_MA_5_home', 'pass_yds_MA_5_away', 'stade', 'humidity', 'kicking_pts_MA_5_away']"
"LogisticRegression(max_iter=200, random_state=0)",0.6179,0.0236,0.6357,winner_home,"Index(['awayteam', 'hometeam', 'home_coach', 'location', 'away_coach',
       'weather_type', 'stade'],
      dtype='object')","Index(['rec_yds_MA_5_away', 'rush_td_MA_5_home', 'dayofweek',
       'fumbles_MA_5_home', 'pass_td_MA_5_away', 'rec_td_MA_5_away',
       'kicking_pts_MA_5_home', 'week'],
      dtype='object')","['awayteam', 'hometeam', 'home_coach', 'location', 'rec_yds_MA_5_away', 'rush_td_MA_5_home', 'away_coach', 'dayofweek', 'weather_type', 'fumbles_MA_5_home', 'pass_td_MA_5_away', 'stade', 'rec_td_MA_5_away', 'kicking_pts_MA_5_home', 'week']"
"LogisticRegression(max_iter=200, random_state=0)",0.6344,0.0243,0.6318,winner_home,"Index(['awayteam', 'hometeam'], dtype='object')","Index(['rush_td_MA_5_away', 'humidity', 'delta_day_away'], dtype='object')","['awayteam', 'hometeam', 'rush_td_MA_5_away', 'humidity', 'delta_day_away']"
"LogisticRegression(max_iter=200, random_state=0)",0.615,0.0155,0.6473,winner_home,"Index(['awayteam', 'hometeam', 'stade'], dtype='object')","Index(['rush_td_MA_5_away', 'fumbles_rec_MA_5_away', 'rec_td_MA_5_home',
       'rush_td_MA_5_home', 'defense_td_MA_5_away', 'fumbles_rec_MA_5_home',
       'defense_td_MA_5_home', 'pass_td_MA_5_away', 'rec_yds_MA_5_home',
       'kicking_pts_MA_5_home'],
      dtype='object')","['awayteam', 'hometeam', 'rush_td_MA_5_away', 'fumbles_rec_MA_5_away', 'rec_td_MA_5_home', 'rush_td_MA_5_home', 'defense_td_MA_5_away', 'fumbles_rec_MA_5_home', 'stade', 'defense_td_MA_5_home', 'pass_td_MA_5_away', 'rec_yds_MA_5_home', 'kicking_pts_MA_5_home']"
"LogisticRegression(max_iter=200, random_state=0)",0.5946,0.0168,0.593,winner_home,"Index(['awayteam', 'hometeam', 'home_coach', 'weather_type'], dtype='object')","Index(['delta_day_home', 'season', 'kicks_return_yds_MA_5_away',
       'rec_yds_MA_5_away', 'interceptions_MA_5_home', 'dayofweek',
       'punt_return_yds_MA_5_home', 'rec_yds_MA_5_home',
       'kicking_pts_MA_5_home', 'delta_day_away', 'rush_yds_MA_5_away',
       'interceptions_MA_5_away', 'rush_td_MA_5_home', 'people', 'temperature',
       'defense_td_MA_5_home', 'kicks_return_td_MA_5_away', 'rec_td_MA_5_away',
       'punt_return_yds_MA_5_away', 'rush_td_MA_5_away', 'wind',
       'rec_td_MA_5_home', 'rush_yds_MA_5_home', 'pass_yds_MA_5_away',
       'fumbles_rec_MA_5_home', 'pass_td_MA_5_away',
       'interceptions_td_MA_5_home', 'humidity', 'kicking_pts_MA_5_away'],
      dtype='object')","['awayteam', 'hometeam', 'delta_day_home', 'season', 'home_coach', 'kicks_return_yds_MA_5_away', 'rec_yds_MA_5_away', 'interceptions_MA_5_home', 'dayofweek', 'punt_return_yds_MA_5_home', 'rec_yds_MA_5_home', 'kicking_pts_MA_5_home', 'delta_day_away', 'rush_yds_MA_5_away', 'interceptions_MA_5_away', 'rush_td_MA_5_home', 'people', 'temperature', 'defense_td_MA_5_home', 'kicks_return_td_MA_5_away', 'rec_td_MA_5_away', 'punt_return_yds_MA_5_away', 'rush_td_MA_5_away', 'wind', 'rec_td_MA_5_home', 'rush_yds_MA_5_home', 'weather_type', 'pass_yds_MA_5_away', 'fumbles_rec_MA_5_home', 'pass_td_MA_5_away', 'interceptions_td_MA_5_home', 'humidity', 'kicking_pts_MA_5_away']"
"LogisticRegression(max_iter=200, random_state=0)",0.6305,0.0199,0.6279,winner_home,"Index(['awayteam', 'hometeam', 'away_coach', 'home_coach', 'location',
       'stade'],
      dtype='object')","Index(['defense_td_MA_5_away', 'delta_day_home', 'rec_yds_MA_5_away',
       'interceptions_MA_5_home', 'month', 'rec_yds_MA_5_home',
       'kicks_return_td_MA_5_home', 'kicking_pts_MA_5_home',
       'rush_yds_MA_5_away', 'people', 'kicks_return_yds_MA_5_home',
       'temperature', 'defense_td_MA_5_home', 'fumbles_MA_5_away',
       'punt_return_yds_MA_5_away', 'kicks_return_td_MA_5_away', 'week',
       'pass_yds_MA_5_home', 'wind', 'fumbles_MA_5_home', 'pass_yds_MA_5_away',
       'fumbles_rec_MA_5_home', 'interceptions_td_MA_5_home', 'humidity'],
      dtype='object')","['awayteam', 'hometeam', 'defense_td_MA_5_away', 'away_coach', 'delta_day_home', 'home_coach', 'rec_yds_MA_5_away', 'interceptions_MA_5_home', 'month', 'rec_yds_MA_5_home', 'kicks_return_td_MA_5_home', 'kicking_pts_MA_5_home', 'rush_yds_MA_5_away', 'location', 'people', 'kicks_return_yds_MA_5_home', 'temperature', 'defense_td_MA_5_home', 'fumbles_MA_5_away', 'punt_return_yds_MA_5_away', 'kicks_return_td_MA_5_away', 'week', 'pass_yds_MA_5_home', 'wind', 'fumbles_MA_5_home', 'pass_yds_MA_5_away', 'fumbles_rec_MA_5_home', 'stade', 'interceptions_td_MA_5_home', 'humidity']"
"LogisticRegression(max_iter=200, random_state=0)",0.6295,0.029,0.6279,winner_home,"Index(['awayteam', 'hometeam'], dtype='object')","Index(['pass_td_MA_5_home', 'streak_home', 'rec_yds_MA_5_away',
       'rush_yds_MA_5_home', 'dayofweek', 'delta_day_home',
       'fumbles_MA_5_home', 'season', 'month', 'rec_td_MA_5_away',
       'kicking_pts_MA_5_home'],
      dtype='object')","['awayteam', 'hometeam', 'pass_td_MA_5_home', 'streak_home', 'rec_yds_MA_5_away', 'rush_yds_MA_5_home', 'dayofweek', 'delta_day_home', 'fumbles_MA_5_home', 'season', 'month', 'rec_td_MA_5_away', 'kicking_pts_MA_5_home']"
"LogisticRegression(max_iter=200, random_state=0)",0.6218,0.0283,0.6279,winner_home,"Index(['awayteam', 'hometeam'], dtype='object')","Index(['rec_yds_MA_5_away'], dtype='object')","['awayteam', 'hometeam', 'rec_yds_MA_5_away']"
"LogisticRegression(max_iter=200, random_state=0)",0.6159,0.0171,0.624,winner_home,"Index(['awayteam', 'hometeam', 'away_coach', 'location', 'weather_type',
       'stade'],
      dtype='object')","Index(['dayofmonth', 'defense_td_MA_5_away', 'delta_day_home',
       'interceptions_MA_5_home', 'punt_return_yds_MA_5_home',
       'kicking_pts_MA_5_home', 'kicks_return_td_MA_5_home', 'delta_day_away',
       'rush_yds_MA_5_away', 'defense_sacks_MA_5_home',
       'interceptions_td_MA_5_away', 'rush_td_MA_5_home',
       'kicks_return_yds_MA_5_home', 'defense_td_MA_5_home', 'temperature',
       'kicks_return_td_MA_5_away', 'rec_td_MA_5_away', 'pass_td_MA_5_home',
       'punt_return_yds_MA_5_away', 'rush_td_MA_5_away', 'streak_home',
       'rush_yds_MA_5_home', 'fumbles_MA_5_home', 'pass_yds_MA_5_away',
       'fumbles_rec_MA_5_home', 'pass_td_MA_5_away',
       'interceptions_td_MA_5_home'],
      dtype='object')","['awayteam', 'hometeam', 'dayofmonth', 'defense_td_MA_5_away', 'away_coach', 'delta_day_home', 'interceptions_MA_5_home', 'punt_return_yds_MA_5_home', 'kicking_pts_MA_5_home', 'kicks_return_td_MA_5_home', 'delta_day_away', 'rush_yds_MA_5_away', 'location', 'defense_sacks_MA_5_home', 'interceptions_td_MA_5_away', 'rush_td_MA_5_home', 'kicks_return_yds_MA_5_home', 'defense_td_MA_5_home', 'temperature', 'kicks_return_td_MA_5_away', 'rec_td_MA_5_away', 'pass_td_MA_5_home', 'punt_return_yds_MA_5_away', 'rush_td_MA_5_away', 'streak_home', 'rush_yds_MA_5_home', 'weather_type', 'fumbles_MA_5_home', 'pass_yds_MA_5_away', 'fumbles_rec_MA_5_home', 'pass_td_MA_5_away', 'stade', 'interceptions_td_MA_5_home']"
"LogisticRegression(max_iter=200, random_state=0)",0.6276,0.0341,0.6124,winner_home,"Index(['awayteam', 'hometeam', 'away_coach'], dtype='object')","Index(['rush_yds_MA_5_away', 'dayofmonth', 'defense_sacks_MA_5_home',
       'streak_away', 'streak_home', 'interceptions_MA_5_away',
       'defense_td_MA_5_away', 'dayofweek', 'people', 'fumbles_MA_5_home',
       'delta_day_home', 'fumbles_rec_MA_5_home', 'season',
       'punt_return_yds_MA_5_home', 'fumbles_MA_5_away',
       'punt_return_yds_MA_5_away', 'kicks_return_td_MA_5_home'],
      dtype='object')","['awayteam', 'hometeam', 'rush_yds_MA_5_away', 'dayofmonth', 'defense_sacks_MA_5_home', 'streak_away', 'streak_home', 'interceptions_MA_5_away', 'defense_td_MA_5_away', 'dayofweek', 'away_coach', 'people', 'fumbles_MA_5_home', 'delta_day_home', 'fumbles_rec_MA_5_home', 'season', 'punt_return_yds_MA_5_home', 'fumbles_MA_5_away', 'punt_return_yds_MA_5_away', 'kicks_return_td_MA_5_home']"
"LogisticRegression(max_iter=200, random_state=0)",0.5936,0.0233,0.6318,winner_home,"Index(['awayteam', 'hometeam', 'home_coach', 'location', 'weather_type',
       'stade'],
      dtype='object')","Index(['dayofmonth', 'defense_td_MA_5_away', 'delta_day_home',
       'kicks_return_yds_MA_5_away', 'fumbles_rec_MA_5_away',
       'interceptions_MA_5_home', 'dayofweek', 'rec_yds_MA_5_home',
       'kicks_return_td_MA_5_home', 'delta_day_away', 'rush_yds_MA_5_away',
       'defense_sacks_MA_5_home', 'streak_away', 'interceptions_MA_5_away',
       'rush_td_MA_5_home', 'people', 'kicks_return_yds_MA_5_home',
       'defense_td_MA_5_home', 'fumbles_MA_5_away', 'pass_td_MA_5_home',
       'week', 'pass_yds_MA_5_home', 'rush_td_MA_5_away', 'rush_yds_MA_5_home',
       'fumbles_MA_5_home', 'pass_yds_MA_5_away', 'interceptions_td_MA_5_home',
       'humidity', 'kicking_pts_MA_5_away'],
      dtype='object')","['awayteam', 'hometeam', 'dayofmonth', 'defense_td_MA_5_away', 'delta_day_home', 'home_coach', 'kicks_return_yds_MA_5_away', 'fumbles_rec_MA_5_away', 'interceptions_MA_5_home', 'dayofweek', 'rec_yds_MA_5_home', 'kicks_return_td_MA_5_home', 'delta_day_away', 'rush_yds_MA_5_away', 'location', 'defense_sacks_MA_5_home', 'streak_away', 'interceptions_MA_5_away', 'rush_td_MA_5_home', 'people', 'kicks_return_yds_MA_5_home', 'defense_td_MA_5_home', 'fumbles_MA_5_away', 'pass_td_MA_5_home', 'week', 'pass_yds_MA_5_home', 'rush_td_MA_5_away', 'rush_yds_MA_5_home', 'weather_type', 'fumbles_MA_5_home', 'pass_yds_MA_5_away', 'stade', 'interceptions_td_MA_5_home', 'humidity', 'kicking_pts_MA_5_away']"
"LogisticRegression(max_iter=200, random_state=0)",0.6198,0.0151,0.6434,winner_home,"Index(['awayteam', 'hometeam', 'away_coach', 'home_coach', 'location',
       'stade'],
      dtype='object')","Index(['defense_td_MA_5_away', 'delta_day_home', 'kicks_return_yds_MA_5_away',
       'rec_yds_MA_5_away', 'month', 'rec_yds_MA_5_home', 'streak_away',
       'interceptions_MA_5_away', 'interceptions_td_MA_5_away',
       'rush_td_MA_5_home', 'kicks_return_yds_MA_5_home', 'temperature',
       'rec_td_MA_5_away', 'week', 'rush_td_MA_5_away', 'rush_yds_MA_5_home',
       'interceptions_td_MA_5_home'],
      dtype='object')","['awayteam', 'hometeam', 'defense_td_MA_5_away', 'away_coach', 'delta_day_home', 'home_coach', 'kicks_return_yds_MA_5_away', 'rec_yds_MA_5_away', 'month', 'rec_yds_MA_5_home', 'location', 'streak_away', 'interceptions_MA_5_away', 'interceptions_td_MA_5_away', 'rush_td_MA_5_home', 'kicks_return_yds_MA_5_home', 'temperature', 'rec_td_MA_5_away', 'week', 'rush_td_MA_5_away', 'rush_yds_MA_5_home', 'stade', 'interceptions_td_MA_5_home']"
"LogisticRegression(max_iter=200, random_state=0)",0.6218,0.0231,0.6279,winner_home,"Index(['awayteam', 'hometeam', 'location'], dtype='object')","Index(['interceptions_td_MA_5_away', 'interceptions_MA_5_home',
       'rec_td_MA_5_away', 'kicking_pts_MA_5_away'],
      dtype='object')","['awayteam', 'hometeam', 'location', 'interceptions_td_MA_5_away', 'interceptions_MA_5_home', 'rec_td_MA_5_away', 'kicking_pts_MA_5_away']"
"LogisticRegression(max_iter=200, random_state=0)",0.6169,0.0237,0.624,winner_home,"Index(['awayteam', 'hometeam', 'away_coach', 'home_coach', 'location',
       'weather_type'],
      dtype='object')","Index(['dayofmonth', 'defense_td_MA_5_away', 'delta_day_home', 'season',
       'kicks_return_yds_MA_5_away', 'rec_yds_MA_5_away', 'dayofweek', 'month',
       'punt_return_yds_MA_5_home', 'rec_yds_MA_5_home',
       'kicking_pts_MA_5_home', 'delta_day_away', 'defense_sacks_MA_5_home',
       'streak_away', 'interceptions_MA_5_away', 'interceptions_td_MA_5_away',
       'defense_td_MA_5_home', 'rec_td_MA_5_away', 'punt_return_yds_MA_5_away',
       'pass_yds_MA_5_home', 'rush_td_MA_5_away', 'streak_home',
       'rush_yds_MA_5_home', 'fumbles_rec_MA_5_home', 'humidity',
       'kicking_pts_MA_5_away'],
      dtype='object')","['awayteam', 'hometeam', 'dayofmonth', 'defense_td_MA_5_away', 'away_coach', 'delta_day_home', 'season', 'home_coach', 'kicks_return_yds_MA_5_away', 'rec_yds_MA_5_away', 'dayofweek', 'month', 'punt_return_yds_MA_5_home', 'rec_yds_MA_5_home', 'kicking_pts_MA_5_home', 'delta_day_away', 'location', 'defense_sacks_MA_5_home', 'streak_away', 'interceptions_MA_5_away', 'interceptions_td_MA_5_away', 'defense_td_MA_5_home', 'rec_td_MA_5_away', 'punt_return_yds_MA_5_away', 'pass_yds_MA_5_home', 'rush_td_MA_5_away', 'streak_home', 'rush_yds_MA_5_home', 'weather_type', 'fumbles_rec_MA_5_home', 'humidity', 'kicking_pts_MA_5_away']"
"LogisticRegression(max_iter=200, random_state=0)",0.6266,0.0279,0.6202,winner_home,"Index(['awayteam', 'hometeam', 'home_coach', 'stade'], dtype='object')","Index(['season', 'rec_yds_MA_5_away', 'month', 'kicks_return_td_MA_5_home',
       'delta_day_away', 'defense_sacks_MA_5_home', 'interceptions_MA_5_away',
       'kicks_return_yds_MA_5_home', 'temperature', 'fumbles_MA_5_away',
       'punt_return_yds_MA_5_away', 'kicks_return_td_MA_5_away',
       'rec_td_MA_5_home', 'rush_yds_MA_5_home', 'fumbles_MA_5_home',
       'pass_yds_MA_5_away', 'humidity'],
      dtype='object')","['awayteam', 'hometeam', 'season', 'home_coach', 'rec_yds_MA_5_away', 'month', 'kicks_return_td_MA_5_home', 'delta_day_away', 'defense_sacks_MA_5_home', 'interceptions_MA_5_away', 'kicks_return_yds_MA_5_home', 'temperature', 'fumbles_MA_5_away', 'punt_return_yds_MA_5_away', 'kicks_return_td_MA_5_away', 'rec_td_MA_5_home', 'rush_yds_MA_5_home', 'fumbles_MA_5_home', 'pass_yds_MA_5_away', 'stade', 'humidity']"
"LogisticRegression(max_iter=200, random_state=0)",0.6295,0.0201,0.6512,winner_home,"Index(['awayteam', 'hometeam', 'away_coach', 'home_coach', 'weather_type'], dtype='object')","Index(['dayofmonth', 'delta_day_home', 'season', 'rec_yds_MA_5_away',
       'punt_return_yds_MA_5_home', 'kicks_return_td_MA_5_home',
       'defense_sacks_MA_5_home', 'interceptions_MA_5_away',
       'interceptions_td_MA_5_away', 'rush_td_MA_5_home',
       'defense_td_MA_5_home', 'punt_return_yds_MA_5_away', 'rec_td_MA_5_away',
       'week', 'rush_td_MA_5_away', 'rush_yds_MA_5_home', 'fumbles_MA_5_home',
       'pass_yds_MA_5_away', 'fumbles_rec_MA_5_home', 'kicking_pts_MA_5_away'],
      dtype='object')","['awayteam', 'hometeam', 'dayofmonth', 'away_coach', 'delta_day_home', 'season', 'home_coach', 'rec_yds_MA_5_away', 'punt_return_yds_MA_5_home', 'kicks_return_td_MA_5_home', 'defense_sacks_MA_5_home', 'interceptions_MA_5_away', 'interceptions_td_MA_5_away', 'rush_td_MA_5_home', 'defense_td_MA_5_home', 'punt_return_yds_MA_5_away', 'rec_td_MA_5_away', 'week', 'rush_td_MA_5_away', 'rush_yds_MA_5_home', 'weather_type', 'fumbles_MA_5_home', 'pass_yds_MA_5_away', 'fumbles_rec_MA_5_home', 'kicking_pts_MA_5_away']"
"LogisticRegression(max_iter=200, random_state=0)",0.6159,0.0132,0.6163,winner_home,"Index(['awayteam', 'hometeam', 'home_coach', 'location', 'weather_type'], dtype='object')","Index(['season', 'interceptions_MA_5_home', 'kicking_pts_MA_5_home',
       'defense_sacks_MA_5_home', 'streak_away', 'people',
       'kicks_return_td_MA_5_away', 'punt_return_yds_MA_5_away',
       'pass_td_MA_5_home', 'fumbles_MA_5_away', 'week', 'pass_yds_MA_5_home',
       'rush_td_MA_5_away', 'wind', 'streak_home', 'fumbles_MA_5_home',
       'interceptions_td_MA_5_home', 'kicking_pts_MA_5_away'],
      dtype='object')","['awayteam', 'hometeam', 'season', 'home_coach', 'interceptions_MA_5_home', 'kicking_pts_MA_5_home', 'location', 'defense_sacks_MA_5_home', 'streak_away', 'people', 'kicks_return_td_MA_5_away', 'punt_return_yds_MA_5_away', 'pass_td_MA_5_home', 'fumbles_MA_5_away', 'week', 'pass_yds_MA_5_home', 'rush_td_MA_5_away', 'wind', 'streak_home', 'weather_type', 'fumbles_MA_5_home', 'interceptions_td_MA_5_home', 'kicking_pts_MA_5_away']"
"LogisticRegression(max_iter=200, random_state=0)",0.613,0.0155,0.6434,winner_home,"Index(['awayteam', 'hometeam', 'away_coach', 'home_coach'], dtype='object')","Index(['dayofmonth', 'defense_td_MA_5_away', 'fumbles_rec_MA_5_away',
       'rec_yds_MA_5_away', 'month', 'punt_return_yds_MA_5_home',
       'kicking_pts_MA_5_home', 'kicks_return_td_MA_5_home', 'streak_away',
       'interceptions_MA_5_away', 'interceptions_td_MA_5_away',
       'kicks_return_yds_MA_5_home', 'temperature', 'defense_td_MA_5_home',
       'fumbles_MA_5_away', 'rec_td_MA_5_away', 'pass_td_MA_5_home',
       'kicks_return_td_MA_5_away', 'pass_yds_MA_5_home',
       'defense_sacks_MA_5_away', 'streak_home', 'rush_yds_MA_5_home',
       'pass_td_MA_5_away', 'interceptions_td_MA_5_home', 'humidity'],
      dtype='object')","['awayteam', 'hometeam', 'dayofmonth', 'defense_td_MA_5_away', 'away_coach', 'home_coach', 'fumbles_rec_MA_5_away', 'rec_yds_MA_5_away', 'month', 'punt_return_yds_MA_5_home', 'kicking_pts_MA_5_home', 'kicks_return_td_MA_5_home', 'streak_away', 'interceptions_MA_5_away', 'interceptions_td_MA_5_away', 'kicks_return_yds_MA_5_home', 'temperature', 'defense_td_MA_5_home', 'fumbles_MA_5_away', 'rec_td_MA_5_away', 'pass_td_MA_5_home', 'kicks_return_td_MA_5_away', 'pass_yds_MA_5_home', 'defense_sacks_MA_5_away', 'streak_home', 'rush_yds_MA_5_home', 'pass_td_MA_5_away', 'interceptions_td_MA_5_home', 'humidity']"
"LogisticRegression(max_iter=200, random_state=0)",0.6227,0.0183,0.6357,winner_home,"Index(['awayteam', 'hometeam', 'stade'], dtype='object')","Index(['pass_yds_MA_5_home', 'rush_yds_MA_5_away', 'defense_sacks_MA_5_home',
       'streak_away', 'rec_td_MA_5_home', 'rush_yds_MA_5_home',
       'kicks_return_yds_MA_5_home', 'temperature',
       'punt_return_yds_MA_5_away', 'pass_td_MA_5_home', 'delta_day_away'],
      dtype='object')","['awayteam', 'hometeam', 'pass_yds_MA_5_home', 'rush_yds_MA_5_away', 'defense_sacks_MA_5_home', 'streak_away', 'rec_td_MA_5_home', 'rush_yds_MA_5_home', 'kicks_return_yds_MA_5_home', 'stade', 'temperature', 'punt_return_yds_MA_5_away', 'pass_td_MA_5_home', 'delta_day_away']"
"LogisticRegression(max_iter=200, random_state=0)",0.6247,0.0252,0.6318,winner_home,"Index(['awayteam', 'hometeam'], dtype='object')","Index(['pass_yds_MA_5_home', 'pass_yds_MA_5_away'], dtype='object')","['awayteam', 'hometeam', 'pass_yds_MA_5_home', 'pass_yds_MA_5_away']"
"LogisticRegression(max_iter=200, random_state=0)",0.6217,0.0146,0.6202,winner_home,"Index(['awayteam', 'hometeam', 'away_coach', 'weather_type', 'stade'], dtype='object')","Index(['pass_yds_MA_5_home', 'dayofmonth', 'defense_sacks_MA_5_away',
       'streak_away', 'interceptions_td_MA_5_away', 'interceptions_MA_5_home',
       'rush_yds_MA_5_home', 'fumbles_MA_5_home', 'fumbles_rec_MA_5_home',
       'interceptions_td_MA_5_home', 'punt_return_yds_MA_5_home',
       'punt_return_yds_MA_5_away', 'kicking_pts_MA_5_away'],
      dtype='object')","['awayteam', 'hometeam', 'pass_yds_MA_5_home', 'dayofmonth', 'defense_sacks_MA_5_away', 'streak_away', 'interceptions_td_MA_5_away', 'interceptions_MA_5_home', 'rush_yds_MA_5_home', 'away_coach', 'weather_type', 'fumbles_MA_5_home', 'fumbles_rec_MA_5_home', 'stade', 'interceptions_td_MA_5_home', 'punt_return_yds_MA_5_home', 'punt_return_yds_MA_5_away', 'kicking_pts_MA_5_away']"
"LogisticRegression(max_iter=200, random_state=0)",0.6188,0.024,0.6318,winner_home,"Index(['awayteam', 'hometeam', 'stade'], dtype='object')","Index(['rush_yds_MA_5_away', 'rec_yds_MA_5_away', 'defense_td_MA_5_away',
       'fumbles_rec_MA_5_home', 'kicking_pts_MA_5_home', 'week'],
      dtype='object')","['awayteam', 'hometeam', 'rush_yds_MA_5_away', 'rec_yds_MA_5_away', 'defense_td_MA_5_away', 'fumbles_rec_MA_5_home', 'stade', 'kicking_pts_MA_5_home', 'week']"
"LogisticRegression(max_iter=200, random_state=0)",0.6227,0.028,0.6202,winner_home,"Index(['awayteam', 'hometeam', 'home_coach', 'away_coach', 'weather_type'], dtype='object')","Index(['rush_yds_MA_5_away', 'defense_sacks_MA_5_home', 'streak_away',
       'streak_home', 'interceptions_MA_5_away', 'defense_sacks_MA_5_away',
       'delta_day_home', 'fumbles_rec_MA_5_home', 'kicks_return_yds_MA_5_home',
       'month', 'fumbles_MA_5_away', 'punt_return_yds_MA_5_away', 'humidity',
       'kicking_pts_MA_5_away'],
      dtype='object')","['awayteam', 'hometeam', 'rush_yds_MA_5_away', 'home_coach', 'defense_sacks_MA_5_home', 'streak_away', 'streak_home', 'interceptions_MA_5_away', 'defense_sacks_MA_5_away', 'away_coach', 'weather_type', 'delta_day_home', 'fumbles_rec_MA_5_home', 'kicks_return_yds_MA_5_home', 'month', 'fumbles_MA_5_away', 'punt_return_yds_MA_5_away', 'humidity', 'kicking_pts_MA_5_away']"
"LogisticRegression(max_iter=200, random_state=0)",0.6062,0.0101,0.6395,winner_home,"Index(['awayteam', 'hometeam', 'home_coach', 'location'], dtype='object')","Index(['kicks_return_yds_MA_5_away', 'punt_return_yds_MA_5_home',
       'rec_yds_MA_5_home', 'streak_away', 'interceptions_td_MA_5_away',
       'rush_td_MA_5_home', 'kicks_return_yds_MA_5_home',
       'defense_td_MA_5_home', 'temperature', 'rec_td_MA_5_away', 'week',
       'rush_td_MA_5_away', 'wind', 'defense_sacks_MA_5_away', 'streak_home',
       'rec_td_MA_5_home', 'rush_yds_MA_5_home', 'pass_td_MA_5_away'],
      dtype='object')","['awayteam', 'hometeam', 'home_coach', 'kicks_return_yds_MA_5_away', 'punt_return_yds_MA_5_home', 'rec_yds_MA_5_home', 'location', 'streak_away', 'interceptions_td_MA_5_away', 'rush_td_MA_5_home', 'kicks_return_yds_MA_5_home', 'defense_td_MA_5_home', 'temperature', 'rec_td_MA_5_away', 'week', 'rush_td_MA_5_away', 'wind', 'defense_sacks_MA_5_away', 'streak_home', 'rec_td_MA_5_home', 'rush_yds_MA_5_home', 'pass_td_MA_5_away']"
"LogisticRegression(max_iter=200, random_state=0)",0.6188,0.0241,0.593,winner_home,"Index(['awayteam', 'hometeam', 'location', 'weather_type', 'stade'], dtype='object')","Index(['wind', 'defense_sacks_MA_5_home', 'kicks_return_yds_MA_5_away',
       'interceptions_MA_5_away', 'interceptions_td_MA_5_away', 'people',
       'fumbles_MA_5_home', 'temperature', 'fumbles_MA_5_away',
       'punt_return_yds_MA_5_away', 'kicks_return_td_MA_5_home',
       'rec_td_MA_5_away', 'delta_day_away'],
      dtype='object')","['awayteam', 'hometeam', 'wind', 'location', 'defense_sacks_MA_5_home', 'kicks_return_yds_MA_5_away', 'interceptions_MA_5_away', 'interceptions_td_MA_5_away', 'people', 'weather_type', 'fumbles_MA_5_home', 'stade', 'temperature', 'fumbles_MA_5_away', 'punt_return_yds_MA_5_away', 'kicks_return_td_MA_5_home', 'rec_td_MA_5_away', 'delta_day_away']"
