model,cross_val_accuracy_avg,cross_val_accuracy_std,accuracy_score_test,target_variable,features_cat,features_num,features
"LogisticRegression(max_iter=200, random_state=0)",0.6169,0.0216,0.6318,winner_home,"Index(['awayteam', 'hometeam', 'home_coach'], dtype='object')","Index(['wind', 'streak_away', 'dayofweek', 'people', 'delta_day_home',
       'temperature', 'interceptions_td_MA_5_home',
       'punt_return_yds_MA_5_home', 'punt_return_yds_MA_5_away',
       'kicking_pts_MA_5_away'],
      dtype='object')","['awayteam', 'hometeam', 'home_coach', 'wind', 'streak_away', 'dayofweek', 'people', 'delta_day_home', 'temperature', 'interceptions_td_MA_5_home', 'punt_return_yds_MA_5_home', 'punt_return_yds_MA_5_away', 'kicking_pts_MA_5_away']"
"LogisticRegression(max_iter=200, random_state=0)",0.6111,0.03,0.6434,winner_home,"Index(['awayteam', 'hometeam', 'away_coach', 'weather_type'], dtype='object')","Index(['interceptions_MA_5_home', 'dayofweek', 'month',
       'punt_return_yds_MA_5_home', 'kicks_return_td_MA_5_home',
       'rush_yds_MA_5_away', 'interceptions_MA_5_away',
       'interceptions_td_MA_5_away', 'people', 'defense_td_MA_5_home',
       'rec_td_MA_5_away', 'pass_td_MA_5_home', 'week', 'pass_yds_MA_5_home',
       'wind', 'streak_home', 'rec_td_MA_5_home', 'fumbles_MA_5_home',
       'pass_td_MA_5_away', 'kicking_pts_MA_5_away'],
      dtype='object')","['awayteam', 'hometeam', 'away_coach', 'interceptions_MA_5_home', 'dayofweek', 'month', 'punt_return_yds_MA_5_home', 'kicks_return_td_MA_5_home', 'rush_yds_MA_5_away', 'interceptions_MA_5_away', 'interceptions_td_MA_5_away', 'people', 'defense_td_MA_5_home', 'rec_td_MA_5_away', 'pass_td_MA_5_home', 'week', 'pass_yds_MA_5_home', 'wind', 'streak_home', 'rec_td_MA_5_home', 'weather_type', 'fumbles_MA_5_home', 'pass_td_MA_5_away', 'kicking_pts_MA_5_away']"
"LogisticRegression(max_iter=200, random_state=0)",0.6218,0.0218,0.655,winner_home,"Index(['awayteam', 'hometeam', 'away_coach', 'home_coach'], dtype='object')","Index(['defense_td_MA_5_away', 'season', 'kicks_return_yds_MA_5_away',
       'interceptions_MA_5_home', 'rec_yds_MA_5_away', 'dayofweek', 'month',
       'punt_return_yds_MA_5_home', 'rec_yds_MA_5_home',
       'kicks_return_td_MA_5_home', 'defense_sacks_MA_5_home',
       'interceptions_td_MA_5_away', 'rush_td_MA_5_home', 'people',
       'kicks_return_yds_MA_5_home', 'defense_td_MA_5_home',
       'fumbles_MA_5_away', 'rec_td_MA_5_away', 'punt_return_yds_MA_5_away',
       'week', 'rush_td_MA_5_away', 'wind', 'defense_sacks_MA_5_away',
       'rec_td_MA_5_home', 'pass_yds_MA_5_away', 'fumbles_rec_MA_5_home',
       'humidity', 'kicking_pts_MA_5_away'],
      dtype='object')","['awayteam', 'hometeam', 'defense_td_MA_5_away', 'away_coach', 'season', 'home_coach', 'kicks_return_yds_MA_5_away', 'interceptions_MA_5_home', 'rec_yds_MA_5_away', 'dayofweek', 'month', 'punt_return_yds_MA_5_home', 'rec_yds_MA_5_home', 'kicks_return_td_MA_5_home', 'defense_sacks_MA_5_home', 'interceptions_td_MA_5_away', 'rush_td_MA_5_home', 'people', 'kicks_return_yds_MA_5_home', 'defense_td_MA_5_home', 'fumbles_MA_5_away', 'rec_td_MA_5_away', 'punt_return_yds_MA_5_away', 'week', 'rush_td_MA_5_away', 'wind', 'defense_sacks_MA_5_away', 'rec_td_MA_5_home', 'pass_yds_MA_5_away', 'fumbles_rec_MA_5_home', 'humidity', 'kicking_pts_MA_5_away']"
"LogisticRegression(max_iter=200, random_state=0)",0.6217,0.023,0.6357,winner_home,"Index(['awayteam', 'hometeam', 'location'], dtype='object')","Index(['pass_yds_MA_5_home', 'defense_sacks_MA_5_home',
       'fumbles_rec_MA_5_away', 'defense_sacks_MA_5_away',
       'pass_yds_MA_5_away', 'kicks_return_yds_MA_5_home', 'temperature',
       'punt_return_yds_MA_5_home'],
      dtype='object')","['awayteam', 'hometeam', 'pass_yds_MA_5_home', 'location', 'defense_sacks_MA_5_home', 'fumbles_rec_MA_5_away', 'defense_sacks_MA_5_away', 'pass_yds_MA_5_away', 'kicks_return_yds_MA_5_home', 'temperature', 'punt_return_yds_MA_5_home']"
"LogisticRegression(max_iter=200, random_state=0)",0.6256,0.0217,0.6395,winner_home,"Index(['awayteam', 'hometeam', 'location'], dtype='object')","Index(['kicking_pts_MA_5_away'], dtype='object')","['awayteam', 'hometeam', 'location', 'kicking_pts_MA_5_away']"
"LogisticRegression(max_iter=200, random_state=0)",0.6314,0.0223,0.6279,winner_home,"Index(['awayteam', 'hometeam', 'away_coach', 'location', 'weather_type'], dtype='object')","Index(['defense_td_MA_5_away', 'delta_day_home', 'season',
       'fumbles_rec_MA_5_away', 'month', 'rec_yds_MA_5_home',
       'kicking_pts_MA_5_home', 'delta_day_away', 'rush_yds_MA_5_away',
       'streak_away', 'interceptions_td_MA_5_away',
       'kicks_return_yds_MA_5_home', 'defense_td_MA_5_home',
       'punt_return_yds_MA_5_away', 'week', 'rush_td_MA_5_away', 'wind',
       'defense_sacks_MA_5_away', 'streak_home', 'rec_td_MA_5_home',
       'pass_yds_MA_5_away', 'pass_td_MA_5_away',
       'interceptions_td_MA_5_home'],
      dtype='object')","['awayteam', 'hometeam', 'defense_td_MA_5_away', 'away_coach', 'delta_day_home', 'season', 'fumbles_rec_MA_5_away', 'month', 'rec_yds_MA_5_home', 'kicking_pts_MA_5_home', 'delta_day_away', 'rush_yds_MA_5_away', 'location', 'streak_away', 'interceptions_td_MA_5_away', 'kicks_return_yds_MA_5_home', 'defense_td_MA_5_home', 'punt_return_yds_MA_5_away', 'week', 'rush_td_MA_5_away', 'wind', 'defense_sacks_MA_5_away', 'streak_home', 'rec_td_MA_5_home', 'weather_type', 'pass_yds_MA_5_away', 'pass_td_MA_5_away', 'interceptions_td_MA_5_home']"
"LogisticRegression(max_iter=200, random_state=0)",0.6247,0.0158,0.6085,winner_home,"Index(['awayteam', 'hometeam', 'stade'], dtype='object')","Index(['wind', 'fumbles_rec_MA_5_away', 'rush_td_MA_5_home',
       'rush_yds_MA_5_home', 'kicks_return_yds_MA_5_home', 'temperature',
       'kicks_return_td_MA_5_away', 'punt_return_yds_MA_5_away',
       'kicks_return_td_MA_5_home'],
      dtype='object')","['awayteam', 'hometeam', 'wind', 'fumbles_rec_MA_5_away', 'rush_td_MA_5_home', 'rush_yds_MA_5_home', 'stade', 'kicks_return_yds_MA_5_home', 'temperature', 'kicks_return_td_MA_5_away', 'punt_return_yds_MA_5_away', 'kicks_return_td_MA_5_home']"
"LogisticRegression(max_iter=200, random_state=0)",0.6266,0.0229,0.6202,winner_home,"Index(['awayteam', 'hometeam', 'away_coach', 'weather_type'], dtype='object')","Index(['dayofmonth', 'defense_td_MA_5_away', 'delta_day_home',
       'fumbles_rec_MA_5_away', 'dayofweek', 'month', 'rec_yds_MA_5_home',
       'delta_day_away', 'rush_yds_MA_5_away', 'streak_away', 'people',
       'temperature', 'fumbles_MA_5_away', 'punt_return_yds_MA_5_away',
       'rec_td_MA_5_away', 'kicks_return_td_MA_5_away', 'week',
       'pass_td_MA_5_home', 'wind', 'streak_home', 'rec_td_MA_5_home',
       'pass_yds_MA_5_away', 'pass_td_MA_5_away', 'interceptions_td_MA_5_home',
       'humidity', 'kicking_pts_MA_5_away'],
      dtype='object')","['awayteam', 'hometeam', 'dayofmonth', 'defense_td_MA_5_away', 'away_coach', 'delta_day_home', 'fumbles_rec_MA_5_away', 'dayofweek', 'month', 'rec_yds_MA_5_home', 'delta_day_away', 'rush_yds_MA_5_away', 'streak_away', 'people', 'temperature', 'fumbles_MA_5_away', 'punt_return_yds_MA_5_away', 'rec_td_MA_5_away', 'kicks_return_td_MA_5_away', 'week', 'pass_td_MA_5_home', 'wind', 'streak_home', 'rec_td_MA_5_home', 'weather_type', 'pass_yds_MA_5_away', 'pass_td_MA_5_away', 'interceptions_td_MA_5_home', 'humidity', 'kicking_pts_MA_5_away']"
"LogisticRegression(max_iter=200, random_state=0)",0.6247,0.0236,0.6279,winner_home,"Index(['awayteam', 'hometeam', 'away_coach', 'weather_type', 'stade'], dtype='object')","Index(['season', 'kicks_return_yds_MA_5_away', 'rec_yds_MA_5_away',
       'punt_return_yds_MA_5_home', 'delta_day_away',
       'defense_sacks_MA_5_home', 'interceptions_MA_5_away',
       'interceptions_td_MA_5_away', 'temperature', 'defense_td_MA_5_home',
       'week', 'pass_yds_MA_5_home', 'rush_td_MA_5_away', 'wind',
       'pass_yds_MA_5_away', 'fumbles_rec_MA_5_home', 'pass_td_MA_5_away',
       'kicking_pts_MA_5_away'],
      dtype='object')","['awayteam', 'hometeam', 'away_coach', 'season', 'kicks_return_yds_MA_5_away', 'rec_yds_MA_5_away', 'punt_return_yds_MA_5_home', 'delta_day_away', 'defense_sacks_MA_5_home', 'interceptions_MA_5_away', 'interceptions_td_MA_5_away', 'temperature', 'defense_td_MA_5_home', 'week', 'pass_yds_MA_5_home', 'rush_td_MA_5_away', 'wind', 'weather_type', 'pass_yds_MA_5_away', 'fumbles_rec_MA_5_home', 'pass_td_MA_5_away', 'stade', 'kicking_pts_MA_5_away']"
"LogisticRegression(max_iter=200, random_state=0)",0.6285,0.0228,0.624,winner_home,"Index(['awayteam', 'hometeam'], dtype='object')","Index(['dayofmonth', 'defense_td_MA_5_away', 'season', 'rec_yds_MA_5_away',
       'rec_yds_MA_5_home', 'rush_yds_MA_5_away', 'streak_away',
       'interceptions_MA_5_away', 'interceptions_td_MA_5_away',
       'rush_td_MA_5_home', 'kicks_return_td_MA_5_away', 'rec_td_MA_5_away',
       'week', 'pass_yds_MA_5_home', 'rush_td_MA_5_away',
       'defense_sacks_MA_5_away', 'fumbles_MA_5_home', 'pass_yds_MA_5_away',
       'pass_td_MA_5_away'],
      dtype='object')","['awayteam', 'hometeam', 'dayofmonth', 'defense_td_MA_5_away', 'season', 'rec_yds_MA_5_away', 'rec_yds_MA_5_home', 'rush_yds_MA_5_away', 'streak_away', 'interceptions_MA_5_away', 'interceptions_td_MA_5_away', 'rush_td_MA_5_home', 'kicks_return_td_MA_5_away', 'rec_td_MA_5_away', 'week', 'pass_yds_MA_5_home', 'rush_td_MA_5_away', 'defense_sacks_MA_5_away', 'fumbles_MA_5_home', 'pass_yds_MA_5_away', 'pass_td_MA_5_away']"
