,idgame,team,pass_completion,pass_yds,pass_avg,pass_td,pass_int,sacks,qbr,rtg,rush_car,rush_yds,rush_avg,rush_td,rush_long,receptions,rec_yds,rec_avg,rec_td,rec_long,rec_tgs,fumbles,fumbles_lost,fumbles_rec,defense_tot,defense_solo,defense_sacks,defense_tfl,defense_pd,defense_qb_hits,defense_td,interceptions,interceptions_yds,interceptions_td,kicks_return_no,kicks_return_yds,kicks_return_avg,kicks_return_long,kicks_return_td,punt_return_no,punt_return_yds,punt_return_avg,punt_return_long,punt_return_td,kicking_pct,kicking_long,kicking_pts,punting_no,punting_yds,punting_avg,punting_tb,punting_in_20,punting_long,date,delta_match
2143,401326453,Patriots,0.6666666666666666,139.0,7.7,1.0,1.0,0.1176470588235294,0.1176470588235294,85.2,39.0,151.0,20.0,1.0,42.0,12.0,139.0,71.3,1.0,114.0,18.0,3.0,1.0,2.0,59.0,34.0,1.0,3.0,8.0,3.0,1.0,3.0,89.0,1.0,1.0,30.0,30.0,30.0,0.0,3.0,42.0,24.5,25.0,0.0,50.0,37.0,6.0,3.0,152.0,50.7,1.0,2.0,55.0,2021-11-07 18:00:00+00:00,14 days 01:00:00
2144,401326454,Bengals,1.2,288.0,10.1,0.0,2.0,0.2,0.2,125.3,23.0,85.0,9.4,2.0,31.0,29.0,288.0,94.9,0.0,125.0,41.0,4.0,1.0,3.0,46.0,29.0,2.0,7.0,1.0,5.0,0.0,0.0,0.0,0.0,4.0,74.0,37.0,43.0,0.0,2.0,22.0,11.0,14.0,0.0,100.0,27.0,4.0,3.0,122.0,40.7,0.0,1.0,44.0,2021-11-07 18:00:00+00:00,7 days 01:00:00
2145,401326454,Browns,0.6666666666666666,218.0,10.4,2.0,0.0,0.2,0.2,132.6,23.0,153.0,11.8,2.0,77.0,14.0,218.0,134.7,2.0,177.0,19.0,2.0,0.0,3.0,72.0,48.0,5.0,4.0,10.0,12.0,1.0,2.0,130.0,1.0,1.0,11.0,11.0,11.0,0.0,2.0,4.0,2.0,5.0,0.0,67.0,28.0,11.0,3.0,118.0,39.3,0.0,1.0,48.0,2021-11-07 18:00:00+00:00,7 days 01:00:00
2146,401326455,Broncos,0.6785714285714286,249.0,8.9,1.0,0.0,0.125,0.125,107.6,41.0,190.0,10.0,2.0,45.0,19.0,249.0,101.6,1.0,149.0,24.0,0.0,0.0,1.0,46.0,31.0,2.0,4.0,7.0,5.0,0.0,1.0,1.0,0.0,2.0,24.0,12.0,18.0,0.0,1.0,1.0,1.0,1.0,0.0,75.0,53.0,10.0,3.0,94.0,31.3,0.0,0.0,51.0,2021-11-07 18:00:00+00:00,6 days 21:35:00
2147,401326455,Cowboys,0.4871794871794871,232.0,5.9,2.0,1.0,0.1,0.1,73.9,16.0,78.0,15.9,0.0,28.0,19.0,232.0,104.4,2.0,158.0,39.0,2.0,1.0,1.0,78.0,49.0,4.0,10.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,89.0,44.5,54.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,194.0,48.5,2.0,1.0,55.0,2021-11-07 18:00:00+00:00,6 days 17:40:00
2148,401326456,Bills,0.6595744680851063,264.0,5.6,0.0,2.0,0.1142857142857142,0.1142857142857142,62.7,14.0,72.0,14.7,0.0,34.0,31.0,264.0,59.7,0.0,102.0,45.0,2.0,1.0,1.0,61.0,36.0,2.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,4.0,129.0,32.3,45.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,41.0,6.0,3.0,148.0,49.3,1.0,0.0,59.0,2021-11-07 18:00:00+00:00,7 days 01:00:00
2149,401326456,Jaguars,1.5769230769230769,151.0,21.0,0.0,0.0,0.1666666666666666,0.1666666666666666,187.9,27.0,79.0,12.5,0.0,26.0,17.0,151.0,56.0,0.0,91.0,27.0,1.0,1.0,1.0,60.0,48.0,4.0,6.0,5.0,8.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,14.0,14.0,0.0,75.0,55.0,9.0,4.0,180.0,45.0,0.0,1.0,53.0,2021-11-07 18:00:00+00:00,6 days 21:55:00
2150,401326457,Dolphins,0.6046511627906976,244.0,5.7,1.0,2.0,0.1379310344827586,0.1379310344827586,64.5,25.0,47.0,10.2,1.0,15.0,26.0,244.0,83.5,1.0,107.0,40.0,3.0,3.0,1.0,62.0,42.0,5.0,4.0,8.0,10.0,0.0,3.0,0.0,0.0,2.0,47.0,23.5,25.0,0.0,3.0,31.0,10.3,15.0,0.0,100.0,42.0,5.0,5.0,207.0,41.4,0.0,3.0,50.0,2021-11-07 18:00:00+00:00,7 days 01:00:00
2151,401326457,Texans,0.5581395348837209,240.0,5.6,0.0,3.0,0.1219512195121951,0.1219512195121951,82.4,18.0,73.0,20.5,0.0,33.0,24.0,240.0,86.1,0.0,126.0,40.0,1.0,1.0,3.0,77.0,46.0,4.0,6.0,5.0,9.0,0.0,2.0,0.0,0.0,1.0,18.0,18.0,18.0,0.0,1.0,2.0,2.0,2.0,0.0,100.0,40.0,9.0,5.0,235.0,47.0,0.0,3.0,58.0,2021-11-07 18:00:00+00:00,7 days 01:00:00
2152,401326458,Falcons,0.7666666666666667,343.0,11.4,2.0,0.0,0.1818181818181818,0.1818181818181818,135.8,25.0,34.0,5.6,1.0,18.0,23.0,343.0,95.1,2.0,205.0,30.0,2.0,0.0,3.0,71.0,46.0,1.0,2.0,11.0,5.0,0.0,0.0,0.0,0.0,3.0,65.0,21.7,25.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32.0,9.0,5.0,224.0,44.8,0.0,1.0,52.0,2021-11-07 18:00:00+00:00,7 days 01:00:00
2153,401326458,Saints,1.6097560975609757,282.0,22.6,2.0,0.0,0.0666666666666666,0.0666666666666666,213.3,25.0,109.0,18.6,1.0,38.0,27.0,282.0,79.2,2.0,134.0,42.0,1.0,1.0,0.0,67.0,32.0,2.0,5.0,2.0,9.0,0.0,0.0,0.0,0.0,5.0,101.0,56.0,59.0,0.0,3.0,50.0,16.7,26.0,0.0,100.0,52.0,7.0,3.0,122.0,40.7,1.0,1.0,45.0,2021-11-07 18:00:00+00:00,6 days 21:35:00
2154,401326459,Giants,0.75,110.0,5.5,1.0,0.0,0.4999999999999999,0.4999999999999999,104.2,31.0,149.0,14.0,0.0,38.0,15.0,110.0,44.4,1.0,73.0,18.0,1.0,1.0,1.0,81.0,40.0,1.0,0.0,8.0,3.0,1.0,2.0,41.0,1.0,3.0,45.0,15.0,18.0,0.0,2.0,26.0,13.0,14.0,0.0,100.0,38.0,11.0,3.0,146.0,48.7,0.0,3.0,58.0,2021-11-07 18:00:00+00:00,5 days 17:45:00
2155,401326459,Raiders,0.6521739130434783,296.0,6.4,1.0,2.0,0.1,0.1,72.4,20.0,117.0,21.8,0.0,45.0,30.0,296.0,74.9,1.0,119.0,46.0,2.0,1.0,2.0,70.0,41.0,3.0,6.0,1.0,7.0,0.0,0.0,0.0,0.0,5.0,107.0,21.4,32.0,0.0,1.0,5.0,5.0,5.0,0.0,75.0,32.0,10.0,2.0,100.0,50.0,0.0,0.0,58.0,2021-11-07 18:00:00+00:00,13 days 21:55:00
2156,401326460,Chargers,0.8421052631578947,356.0,9.4,2.0,0.0,0.0,0.0,123.2,27.0,89.0,18.3,1.0,37.0,32.0,356.0,114.2,2.0,184.0,37.0,0.0,0.0,0.0,62.0,40.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,96.0,24.0,39.0,0.0,1.0,10.0,10.0,10.0,0.0,100.0,30.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-07 21:05:00+00:00,21 days 04:05:00
2157,401326460,Eagles,0.6470588235294118,162.0,9.5,1.0,0.0,0.1428571428571428,0.1428571428571428,115.3,39.0,176.0,15.9,2.0,42.0,11.0,162.0,36.0,1.0,50.0,16.0,1.0,0.0,1.0,79.0,46.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,46.0,24.5,44.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,24.0,6.0,3.0,130.0,43.3,0.0,1.0,44.0,2021-11-07 21:05:00+00:00,7 days 04:05:00
2158,401326461,Chiefs,0.5405405405405406,166.0,4.5,1.0,0.0,0.1666666666666666,0.1666666666666666,74.8,25.0,77.0,3.0,0.0,13.0,20.0,166.0,48.6,1.0,76.0,36.0,1.0,0.0,2.0,59.0,34.0,1.0,3.0,3.0,7.0,0.0,1.0,0.0,0.0,1.0,12.0,12.0,12.0,0.0,2.0,3.0,1.5,3.0,0.0,100.0,55.0,7.0,6.0,341.0,56.8,0.0,5.0,64.0,2021-11-07 21:25:00+00:00,5 days 21:10:00
2159,401326461,Packers,0.5588235294117647,190.0,5.6,1.0,1.0,0.0909090909090909,0.0909090909090909,69.5,25.0,122.0,14.8,0.0,32.0,19.0,190.0,71.2,1.0,116.0,32.0,3.0,1.0,2.0,57.0,38.0,1.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,48.0,25.5,29.0,0.0,3.0,15.0,7.5,15.0,0.0,0.0,0.0,1.0,4.0,217.0,54.3,1.0,1.0,63.0,2021-11-07 21:25:00+00:00,9 days 21:05:00
2160,401326462,49ers,0.7,326.0,8.2,2.0,1.0,0.1785714285714285,0.1785714285714285,100.6,11.0,39.0,7.5,0.0,17.0,28.0,326.0,68.5,2.0,115.0,39.0,2.0,2.0,0.0,88.0,46.0,2.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,45.0,22.5,23.0,0.0,3.0,34.0,11.3,27.0,0.0,100.0,26.0,5.0,4.0,163.0,40.8,0.0,2.0,57.0,2021-11-07 21:25:00+00:00,7 days 04:25:00
2161,401326462,Cardinals,1.8461538461538465,282.0,42.6,1.0,0.0,0.25,0.25,238.2,39.0,163.0,17.2,3.0,69.0,23.0,282.0,65.3,1.0,154.0,26.0,1.0,0.0,3.0,63.0,33.0,5.0,7.0,3.0,8.0,0.0,1.0,7.0,0.0,4.0,88.0,44.0,51.0,0.0,1.0,2.0,2.0,2.0,0.0,100.0,26.0,7.0,4.0,207.0,51.8,1.0,1.0,53.0,2021-11-07 21:25:00+00:00,9 days 21:05:00
