,idgame,date,stade,location,attendance,capacity,people,line,over_under,attendance_info,month,dayofmonth,dayofweek,hour,minute
959,401030896,2018-12-16 18:00:00+00:00,Highmark Stadium,"Orchard Park, NY",59110.0,71621,83.0,,,1,12,16,6,18,0
960,401030909,2018-12-16 18:00:00+00:00,Paycor Stadium,"Cincinnati, OH",44568.0,65515,68.0,,,1,12,16,6,18,0
961,401030893,2018-12-16 18:00:00+00:00,Soldier Field,"Chicago, IL",62372.0,61500,100.0,,,1,12,16,6,18,0
962,401030860,2018-12-09 21:25:00+00:00,State Farm Stadium,"Glendale, AZ",62014.0,65000,95.0,,,1,12,9,6,21,25
963,401030915,2018-12-16 18:00:00+00:00,MetLife Stadium,"East Rutherford, NJ",74538.0,82500,90.0,,,1,12,16,6,18,0
964,401030924,2018-12-16 18:00:00+00:00,TIAA Bank Field,"Jacksonville, FL",67577.0,67858,100.0,,,1,12,16,6,18,0
965,401030898,2018-12-16 18:00:00+00:00,M&T Bank Stadium,"Baltimore, MD",70031.0,70745,99.0,,,1,12,16,6,18,0
966,401030918,2018-12-16 18:00:00+00:00,U.S. Bank Stadium,"Minneapolis, MN",66841.0,66468,100.0,,,1,12,16,6,18,0
967,401030950,2018-12-16 21:05:00+00:00,Levi's Stadium,"Santa Clara, CA",68836.0,68500,100.0,,,1,12,16,6,21,5
968,401030956,2018-12-16 21:25:00+00:00,Acrisure Stadium,"Pittsburgh, PA",65280.0,68400,95.0,,,1,12,16,6,21,25
969,401030927,2018-12-16 18:00:00+00:00,Lucas Oil Stadium,"Indianapolis, IN",66654.0,63000,100.0,,,1,12,16,6,18,0
970,401127871,2019-12-06 01:20:00+00:00,Soldier Field,"Chicago, IL",61276.0,61500,100.0,,,1,12,6,4,1,20
971,401030961,2018-12-17 01:20:00+00:00,Los Angeles Memorial Coliseum,"Los Angeles, CA",74210.0,77500,96.0,,,1,12,17,0,1,20
972,401127869,2019-12-08 18:00:00+00:00,Mercedes-Benz Stadium,"Atlanta, GA",70592.0,75000,94.0,,,1,12,8,6,18,0
973,401127867,2019-12-08 18:00:00+00:00,FirstEnergy Stadium,"Cleveland, OH",67431.0,67431,100.0,,,1,12,8,6,18,0
974,401127926,2019-12-08 18:00:00+00:00,U.S. Bank Stadium,"Minneapolis, MN",66776.0,66468,100.0,,,1,12,8,6,18,0
975,401127916,2019-12-08 18:00:00+00:00,Lambeau Field,"Green Bay, WI",77296.0,81041,95.0,,,1,12,8,6,18,0
976,401127964,2019-12-08 18:00:00+00:00,Caesars Superdome,"New Orleans, LA",73038.0,73000,100.0,,,1,12,8,6,18,0
977,401030967,2018-12-18 01:15:00+00:00,Bank of America Stadium,"Charlotte, NC",74188.0,73778,100.0,,,1,12,18,1,1,15
978,401220159,2020-12-13 18:00:00+00:00,Paycor Stadium,"Cincinnati, OH",10322.0,65515,16.0,Line: DAL -3.0,Over/Under: 44.0,1,12,13,6,18,0
979,401127868,2019-12-08 18:00:00+00:00,Highmark Stadium,"Orchard Park, NY",69134.0,71621,97.0,,,1,12,8,6,18,0
980,401220125,2020-12-13 18:00:00+00:00,Hard Rock Stadium,"Miami Gardens, FL",13057.0,64767,20.0,Line: KC -7.0,Over/Under: 51.5,1,12,13,6,18,0
981,401127920,2019-12-08 18:00:00+00:00,NRG Stadium,"Houston, TX",71769.0,71995,100.0,,,1,12,8,6,18,0
982,401220279,2020-12-13 18:00:00+00:00,Soldier Field,"Chicago, IL",,61500,,Line: HOU -1.0,Over/Under: 46.5,0,12,13,6,18,0
983,401220253,2020-12-13 18:00:00+00:00,MetLife Stadium,"East Rutherford, NJ",,82500,,Line: ARI -3.0,Over/Under: 47.5,0,12,13,6,18,0
984,401127994,2019-12-08 18:00:00+00:00,Raymond James Stadium,"Tampa, FL",50232.0,65828,76.0,,,1,12,8,6,18,0
985,401220196,2020-12-13 18:00:00+00:00,TIAA Bank Field,"Jacksonville, FL",15896.0,67858,23.0,Line: TEN -7.5,Over/Under: 53.0,1,12,13,6,18,0
986,401128005,2019-12-08 21:25:00+00:00,Oakland Coliseum,"Oakland, CA",52760.0,55997,94.0,,,1,12,8,6,21,25
987,401127997,2019-12-08 21:05:00+00:00,TIAA Bank Field,"Jacksonville, FL",57866.0,67858,85.0,,,1,12,8,6,21,5
988,401127969,2019-12-08 18:00:00+00:00,MetLife Stadium,"East Rutherford, NJ",78523.0,82500,95.0,,,1,12,8,6,18,0
989,401127930,2019-12-08 21:25:00+00:00,Gillette Stadium,"Foxboro, MA",65878.0,65878,100.0,,,1,12,8,6,21,25
990,401220332,2020-12-13 18:00:00+00:00,Raymond James Stadium,"Tampa, FL",16031.0,65828,24.0,Line: TB -6.5,Over/Under: 52.5,1,12,13,6,18,0
991,401220366,2020-12-13 21:05:00+00:00,Lumen Field,"Seattle, WA",,68740,,Line: SEA -16.5,Over/Under: 49.0,0,12,13,6,21,5
992,401128002,2019-12-08 21:25:00+00:00,State Farm Stadium,"Glendale, AZ",63880.0,65000,98.0,,,1,12,8,6,21,25
993,401220319,2020-12-13 18:00:00+00:00,Bank of America Stadium,"Charlotte, NC",5768.0,73778,8.0,Line: CAR -4.0,Over/Under: 46.0,1,12,13,6,18,0
994,401220233,2020-12-13 21:05:00+00:00,Allegiant Stadium,"Las Vegas, NV",,65000,,Line: IND -2.5,Over/Under: 51.5,0,12,13,6,21,5
995,401128009,2019-12-09 01:20:00+00:00,Los Angeles Memorial Coliseum,"Los Angeles, CA",71501.0,77500,92.0,,,1,12,9,0,1,20
