kicks_return_avg_MA_5_away_y;2,32948E+18
kicks_return_avg_MA_5_home_x;2,0907E+18
kicks_return_avg_MA_5_home_y;2,0907E+18
kicks_return_avg_away_x;0
kicks_return_avg_away_y;0
kicks_return_avg_home_x;0
kicks_return_avg_home_y;0
kicks_return_long_MA_5_away_x;0
kicks_return_long_MA_5_away_y;0
kicks_return_long_MA_5_home_x;0
kicks_return_long_MA_5_home_y;0
kicks_return_long_away_x;0
kicks_return_long_away_y;0
kicks_return_long_home_x;0
kicks_return_long_home_y;0
kicks_return_no_MA_5_away_x;0
kicks_return_no_MA_5_away_y;0
kicks_return_no_MA_5_home_x;0
kicks_return_no_MA_5_home_y;0
kicks_return_no_away_x;0
kicks_return_no_away_y;0
kicks_return_no_home_x;0
kicks_return_no_home_y;0
kicks_return_td_MA_5_away_x;0
kicks_return_td_MA_5_away_y;0
kicks_return_td_MA_5_home_x;0
kicks_return_td_MA_5_home_y;0
kicks_return_td_away_x;0
kicks_return_td_away_y;0
kicks_return_td_home_x;0
kicks_return_td_home_y;0
kicks_return_yds_MA_5_away_x;0
kicks_return_yds_MA_5_away_y;0
kicks_return_yds_MA_5_home_x;0
kicks_return_yds_MA_5_home_y;0
kicks_return_yds_away_x;0
kicks_return_yds_away_y;0
kicks_return_yds_home_x;0
kicks_return_yds_home_y;0
line_x;0
line_y;0
location_away_x;0
location_away_y;0
location_home_x;0
location_home_y;0
location_x;0
location_y;0
minute_x;11720
minute_y;11720
month_x;13218
month_y;13218
over_under_x;0
over_under_y;0
pass_avg_MA_5_away_x;4,29756E+18
pass_avg_MA_5_away_y;4,29756E+18
pass_avg_MA_5_home_x;4,73986E+18
pass_avg_MA_5_home_y;4,73986E+18
pass_avg_away_x;4,59E+16
pass_avg_away_y;4,59E+16
pass_avg_home_x;3,21E+16
pass_avg_home_y;3,21E+16
pass_completion_MA_5_away_x;8,52714E+17
pass_completion_MA_5_away_y;8,52714E+17
pass_completion_MA_5_home_x;8,05474E+17
pass_completion_MA_5_home_y;8,05474E+17
pass_completion_away_x;1,72695E+18
pass_completion_away_y;1,72695E+18
pass_completion_home_x;1,67496E+18
pass_completion_home_y;1,67496E+18
pass_int_MA_5_away_x;0
pass_int_MA_5_away_y;0
pass_int_MA_5_home_x;0
pass_int_MA_5_home_y;0
pass_int_away_x;0
pass_int_away_y;0
pass_int_home_x;0
pass_int_home_y;0
pass_td_MA_5_away_x;0
pass_td_MA_5_away_y;0
pass_td_MA_5_home_x;0
