,season,week,awayteam,hometeam,awayscore,homescore,idgame,score_abs,winner_home,winner_away,winner_team,concat,home_coach,away_coach,location_x,weather_type,temperature,humidity,wind,game_date,team,delta_match,pass_yds_MA_5,pass_td_MA_5,rush_yds_MA_5,rush_td_MA_5,rec_yds_MA_5,rec_td_MA_5,fumbles_MA_5,fumbles_rec_MA_5,defense_sacks_MA_5,defense_td_MA_5,interceptions_MA_5,interceptions_td_MA_5,kicks_return_yds_MA_5,kicks_return_td_MA_5,punt_return_yds_MA_5,kicking_pct_MA_5,date,stade,location_y,attendance,capacity,people,attendance_info,month,dayofmonth,dayofweek,hour,minute,win_streak,lose_streak
48,2017,16,Chargers,Jets,14,7,400951642,-7,0,1,Chargers,2017_16_Jets_Chargers,Todd Bowles,Anthony Lynn,Home,cloudy,4,55,6,2017-12-24 18:00:00+00:00,Chargers,7 days 16:35:00,322.2,1.8,118.6,0.8,322.2,1.8,1.0,0.4,1.8,0.6,1.8,0.4,31.0,0.0,12.8,62.0,2017-12-24 18:00:00+00:00,MetLife Stadium,"East Rutherford, NJ",77562.0,82500,94.0,1,12,24,6,18,0,1.0,0.0
52,2017,16,Broncos,Washington,11,27,400951671,16,1,0,Redskins,2017_16_Washington_Broncos,Jay Gruden,Vance Joseph,Home,cloudy,43,59,7,2017-12-24 18:00:00+00:00,Broncos,9 days 16:35:00,221.0,1.2,113.2,0.6,221.0,1.2,1.2,0.6,2.2,0.2,0.6,0.2,10.4,0.0,16.0,55.0,2017-12-24 18:00:00+00:00,FedExField,"Landover, MD",72889.0,67617,100.0,1,12,24,6,18,0,0.0,1.0
54,2017,16,Buccaneers,Panthers,19,22,400951613,3,1,0,Panthers,2017_16_Panthers_Buccaneers,Ron Rivera,Dirk Koetter,Home,cloudy,55,63,6,2017-12-24 18:00:00+00:00,Buccaneers,5 days 16:30:00,282.4,1.8,105.8,0.6,282.4,1.8,1.6,0.8,0.8,0.0,1.2,0.0,47.6,0.0,9.8,55.0,2017-12-24 18:00:00+00:00,Bank of America Stadium,"Charlotte, NC",71463.0,73778,97.0,1,12,24,6,18,0,0.0,5.0
58,2017,16,Jaguars,49ers,33,44,400951675,11,1,0,49ers,2017_16_49ers_Jaguars,Kyle Shanahan,Doug Marrone,Home,cloudy,52,64,1,2017-12-24 21:05:00+00:00,49ers,6 days 23:40:00,303.0,1.0,106.6,0.6,303.0,1.0,0.6,0.6,1.8,0.0,0.2,0.0,32.0,0.0,17.8,100.0,2017-12-24 21:05:00+00:00,Levi's Stadium,"Santa Clara, CA",70133.0,68500,100.0,1,12,24,6,21,5,4.0,0.0
62,2017,4,Bengals,Browns,31,7,400951712,-24,0,1,Bengals,2017_04_Browns_Bengals,Hue Jackson,Marvin Lewis,Home,sunny,63,37,6,2017-10-01 17:00:00+00:00,Bengals,6 days 20:35:00,,,,,,,,,,,,,,,,,2017-10-01 17:00:00+00:00,FirstEnergy Stadium,"Cleveland, OH",67431.0,67431,100.0,1,10,1,6,17,0,1.0,0.0
66,2017,4,Rams,Cowboys,35,30,400951716,-5,0,1,Rams,2017_04_Cowboys_Rams,Jason Garrett,Sean McVay,Home,cloudy,68,70,5,2017-10-01 17:00:00+00:00,Cowboys,5 days 16:30:00,,,,,,,,,,,,,,,,,2017-10-01 17:00:00+00:00,AT&T Stadium,"Arlington, TX",91869.0,100000,92.0,1,10,1,6,17,0,0.0,1.0
70,2017,4,Lions,Vikings,14,7,400951724,-7,0,1,Lions,2017_04_Vikings_Lions,Mike Zimmer,Jim Caldwell,Home,indoor,68,70,5,2017-10-01 17:00:00+00:00,Lions,7 days 00:00:00,,,,,,,,,,,,,,,,,2017-10-01 17:00:00+00:00,U.S. Bank Stadium,"Minneapolis, MN",66730.0,66468,100.0,1,10,1,6,17,0,1.0,0.0
74,2017,4,Panthers,Patriots,33,30,400951727,-3,0,1,Panthers,2017_04_Patriots_Panthers,Bill Belichick,Ron Rivera,Home,sunny,61,43,6,2017-10-01 17:00:00+00:00,Panthers,7 days 00:00:00,,,,,,,,,,,,,,,,,2017-10-01 17:00:00+00:00,Gillette Stadium,"Foxboro, MA",65878.0,65878,100.0,1,10,1,6,17,0,1.0,0.0
78,2017,14,Vikings,Panthers,24,31,400951561,7,1,0,Panthers,2017_14_Panthers_Vikings,Ron Rivera,Mike Zimmer,Home,sunny,41,49,5,2017-12-10 18:00:00+00:00,Panthers,6 days 20:35:00,179.2,1.4,170.4,1.6,179.2,1.4,1.6,0.6,2.0,0.2,0.8,0.0,45.6,0.0,29.8,80.0,2017-12-10 18:00:00+00:00,Bank of America Stadium,"Charlotte, NC",73728.0,73778,100.0,1,12,10,6,18,0,1.0,0.0
82,2017,14,Lions,Buccaneers,24,21,400951660,-3,0,1,Lions,2017_14_Buccaneers_Lions,Dirk Koetter,Jim Caldwell,Home,cloudy,55,44,9,2017-12-10 18:00:00+00:00,Buccaneers,7 days 00:00:00,230.0,1.2,97.8,0.4,230.0,1.2,1.0,1.2,2.0,0.0,1.0,0.0,23.2,0.0,13.4,85.0,2017-12-10 18:00:00+00:00,Raymond James Stadium,"Tampa, FL",60372.0,65828,92.0,1,12,10,6,18,0,0.0,3.0
86,2017,14,Cowboys,Giants,30,10,400951692,-20,0,1,Cowboys,2017_14_Giants_Cowboys,Steve Spagnuolo,Jason Garrett,Home,fair,39,55,11,2017-12-10 18:00:00+00:00,Cowboys,9 days 16:35:00,170.2,0.8,122.2,1.2,170.2,0.8,0.8,0.4,1.4,0.0,0.8,0.0,64.0,0.0,20.0,40.0,2017-12-10 18:00:00+00:00,MetLife Stadium,"East Rutherford, NJ",78125.0,82500,95.0,1,12,10,6,18,0,2.0,0.0
90,2017,14,Raiders,Chiefs,15,26,400951654,11,1,0,Chiefs,2017_14_Chiefs_Raiders,Andy Reid,Jack Del Rio,Home,sunny,46,35,13,2017-12-10 18:00:00+00:00,Chiefs,7 days 00:00:00,252.0,1.6,89.6,0.0,252.0,1.6,0.4,0.4,1.2,0.2,0.8,0.0,78.6,0.0,8.2,90.0,2017-12-10 18:00:00+00:00,GEHA Field at Arrowhead Stadium,"Kansas City, MO",74461.0,72936,100.0,1,12,10,6,18,0,1.0,0.0
94,2017,14,Packers,Browns,27,21,400951647,-6,0,1,Packers,2017_14_Browns_Packers,Hue Jackson,Mike McCarthy,Home,cloudy,29,58,24,2017-12-10 18:00:00+00:00,Browns,6 days 20:55:00,215.6,0.6,124.8,1.0,215.6,0.6,2.2,0.2,1.8,0.0,0.4,0.0,76.6,0.0,11.6,65.0,2017-12-10 18:00:00+00:00,FirstEnergy Stadium,"Cleveland, OH",67431.0,67431,100.0,1,12,10,6,18,0,0.0,13.0
98,2017,14,Bears,Bengals,33,7,400951564,-26,0,1,Bears,2017_14_Bengals_Bears,Marvin Lewis,John Fox,Home,cloudy,31,64,11,2017-12-10 18:00:00+00:00,Bears,7 days 00:00:00,177.8,0.6,100.4,0.6,177.8,0.6,1.2,1.2,2.2,0.0,0.2,0.0,74.0,0.0,17.4,53.34,2017-12-10 18:00:00+00:00,Paycor Stadium,"Cincinnati, OH",52002.0,65515,79.0,1,12,10,6,18,0,1.0,0.0
102,2017,14,Colts,Bills,7,13,400951560,6,1,0,Bills,2017_14_Bills_Colts,Sean McDermott,Chuck Pagano,Home,snow,32,69,15,2017-12-10 18:00:00+00:00,Bills,7 days 00:00:00,188.4,1.0,118.4,0.6,188.4,1.0,1.6,0.2,1.4,0.0,0.4,0.0,59.8,0.0,16.4,75.0,2017-12-10 18:00:00+00:00,Highmark Stadium,"Orchard Park, NY",60222.0,71621,84.0,1,12,10,6,18,0,1.0,0.0
106,2017,16,Seahawks,Cowboys,21,12,400951709,-9,0,1,Seahawks,2017_16_Cowboys_Seahawks,Jason Garrett,Pete Carroll,Home,cloudy,68,70,5,2017-12-24 21:25:00+00:00,Cowboys,6 days 19:55:00,194.0,1.0,124.2,1.2,194.0,1.0,0.4,0.4,0.8,0.0,0.8,0.0,68.2,0.0,27.8,66.66,2017-12-24 21:25:00+00:00,AT&T Stadium,"Arlington, TX",92150.0,100000,92.0,1,12,24,6,21,25,0.0,1.0
110,2017,4,Washington,Chiefs,20,29,400951752,9,1,0,Chiefs,2017_04_Chiefs_Washington,Andy Reid,Jay Gruden,Home,cloudy,82,55,14,2017-10-03 00:30:00+00:00,Chiefs,8 days 04:05:00,,,,,,,,,,,,,,,,,2017-10-03 00:30:00+00:00,GEHA Field at Arrowhead Stadium,"Kansas City, MO",74587.0,72936,100.0,1,10,3,1,0,30,4.0,0.0
112,2017,4,Raiders,Broncos,10,16,400951744,6,1,0,Broncos,2017_04_Broncos_Raiders,Vance Joseph,Jack Del Rio,Home,cloudy,72,26,7,2017-10-01 20:25:00+00:00,Broncos,7 days 03:25:00,,,,,,,,,,,,,,,,,2017-10-01 20:25:00+00:00,Empower Field at Mile High,"Denver, CO",76909.0,76125,100.0,1,10,1,6,20,25,1.0,0.0
116,2017,4,Giants,Buccaneers,23,25,400951742,2,1,0,Buccaneers,2017_04_Buccaneers_Giants,Dirk Koetter,Ben McAdoo,Home,cloudy,91,51,8,2017-10-01 20:05:00+00:00,Buccaneers,7 days 03:05:00,,,,,,,,,,,,,,,,,2017-10-01 20:05:00+00:00,Raymond James Stadium,"Tampa, FL",63916.0,65828,97.0,1,10,1,6,20,5,1.0,0.0
120,2017,4,Eagles,Chargers,26,24,400951738,-2,0,1,Eagles,2017_04_Chargers_Eagles,Anthony Lynn,Doug Pederson,Home,sunny,72,70,6,2017-10-01 20:05:00+00:00,Chargers,6 days 23:40:00,,,,,,,,,,,,,,,,,2017-10-01 20:05:00+00:00,Dignity Health Sports Park,"Carson, CA",25374.0,27000,94.0,1,10,1,6,20,5,0.0,3.0
124,2017,4,49ers,Cardinals,15,18,400951735,3,1,0,Cardinals,2017_04_Cardinals_49ers,Bruce Arians,Kyle Shanahan,Home,indoor,68,70,5,2017-10-01 20:05:00+00:00,49ers,9 days 19:40:00,,,,,,,,,,,,,,,,,2017-10-01 20:05:00+00:00,State Farm Stadium,"Glendale, AZ",64121.0,65000,99.0,1,10,1,6,20,5,0.0,4.0
128,2017,4,Titans,Texans,14,57,400951720,43,1,0,Texans,2017_04_Texans_Titans,Bill O'Brien,Mike Mularkey,Home,sunny,87,53,3,2017-10-01 17:00:00+00:00,Texans,7 days 00:00:00,,,,,,,,,,,,,,,,,2017-10-01 17:00:00+00:00,NRG Stadium,"Houston, TX",71804.0,71995,100.0,1,10,1,6,17,0,1.0,0.0
132,2017,4,Steelers,Ravens,26,9,400951708,-17,0,1,Steelers,2017_04_Ravens_Steelers,John Harbaugh,Mike Tomlin,Home,sunny,64,52,6,2017-10-01 17:00:00+00:00,Ravens,7 days 03:30:00,,,,,,,,,,,,,,,,,2017-10-01 17:00:00+00:00,M&T Bank Stadium,"Baltimore, MD",71126.0,70745,100.0,1,10,1,6,17,0,0.0,2.0
136,2017,4,Jaguars,Jets,20,23,400951730,3,1,0,Jets,2017_04_Jets_Jaguars,Todd Bowles,Doug Marrone,Home,sunny,64,44,5,2017-10-01 17:00:00+00:00,Jaguars,7 days 03:30:00,,,,,,,,,,,,,,,,,2017-10-01 17:00:00+00:00,MetLife Stadium,"East Rutherford, NJ",77562.0,82500,94.0,1,10,1,6,17,0,0.0,1.0
140,2017,4,Colts,Seahawks,18,46,400951747,28,1,0,Seahawks,2017_04_Seahawks_Colts,Pete Carroll,Chuck Pagano,Home,cloudy,61,54,8,2017-10-02 00:30:00+00:00,Colts,7 days 07:30:00,,,,,,,,,,,,,,,,,2017-10-02 00:30:00+00:00,Lumen Field,"Seattle, WA",68872.0,68740,100.0,1,10,2,0,0,30,0.0,1.0
