,season,week,awayteam,hometeam,awayscore,homescore,idgame,score_abs,winner_home,winner_away,winner_team,concat,home_coach,away_coach,location_x,weather_type,temperature,humidity,wind,game_date,team,delta_match,pass_yds_MA_5,pass_td_MA_5,rush_yds_MA_5,rush_td_MA_5,rec_yds_MA_5,rec_td_MA_5,fumbles_MA_5,fumbles_rec_MA_5,defense_sacks_MA_5,defense_td_MA_5,interceptions_MA_5,interceptions_td_MA_5,kicks_return_yds_MA_5,kicks_return_td_MA_5,punt_return_yds_MA_5,kicking_pct_MA_5,date,stade,location_y,attendance,capacity,people,attendance_info,month,dayofmonth,dayofweek,hour,minute,win_streak,lose_streak
784,2017,13,Giants,Raiders,17,24,400951740,7,1,0,Raiders,2017_13_Raiders_Giants,Jack Del Rio,Ben McAdoo,Home,sunny,58,51,11,2017-12-03 21:25:00+00:00,Giants,9 days 19:55:00,189.0,1.0,93.4,0.2,189.0,1.0,1.2,0.4,1.6,0.2,1.0,0.2,27.6,0.0,3.2,63.34,2017-12-03 21:25:00+00:00,Oakland Coliseum,"Oakland, CA",54994.0,55997,98.0,1,12,3,6,21,25,0.0,2.0
788,2017,13,Panthers,Saints,21,31,400951722,10,1,0,Saints,2017_13_Saints_Panthers,Sean Payton,Ron Rivera,Home,sunny,69,66,7,2017-12-03 21:25:00+00:00,Panthers,7 days 03:25:00,184.8,1.0,169.6,1.4,184.8,1.0,1.2,0.4,2.4,0.2,0.8,0.0,45.8,0.0,29.2,100.0,2017-12-03 21:25:00+00:00,Caesars Superdome,"New Orleans, LA",73171.0,73000,100.0,1,12,3,6,21,25,0.0,1.0
792,2017,13,Rams,Cardinals,32,16,400951733,-16,0,1,Rams,2017_13_Cardinals_Rams,Bruce Arians,Sean McVay,Home,cloudy,68,70,5,2017-12-03 21:25:00+00:00,Cardinals,7 days 00:00:00,232.0,1.6,76.4,0.2,232.0,1.6,1.2,0.8,3.0,0.0,0.8,0.0,36.0,0.0,29.2,53.34,2017-12-03 21:25:00+00:00,State Farm Stadium,"Glendale, AZ",63986.0,65000,98.0,1,12,3,6,21,25,0.0,1.0
796,2017,13,Eagles,Seahawks,10,24,400951746,14,1,0,Seahawks,2017_13_Seahawks_Eagles,Pete Carroll,Doug Pederson,Home,cloudy,44,78,3,2017-12-04 01:30:00+00:00,Eagles,7 days 07:30:00,225.8,3.0,165.4,1.2,225.8,3.0,1.4,0.2,3.4,0.4,2.0,0.2,15.4,0.0,15.0,73.34,2017-12-04 01:30:00+00:00,Lumen Field,"Seattle, WA",69075.0,68740,100.0,1,12,4,0,1,30,0.0,1.0
800,2017,10,Vikings,Washington,38,30,400951658,-8,0,1,Vikings,2017_10_Washington_Vikings,Jay Gruden,Mike Zimmer,Home,cloudy,44,44,4,2017-11-12 18:00:00+00:00,Vikings,14 days 04:30:00,222.0,0.8,123.0,1.0,222.0,0.8,1.4,0.6,3.6,0.0,0.8,0.0,39.0,0.0,30.0,80.0,2017-11-12 18:00:00+00:00,FedExField,"Landover, MD",74476.0,67617,100.0,1,11,12,6,18,0,0.0,1.0
802,2017,12,Vikings,Lions,30,23,400951569,-7,0,1,Vikings,2017_12_Lions_Vikings,Jim Caldwell,Mike Zimmer,Home,indoor,68,70,5,2017-11-23 17:30:00+00:00,Lions,3 days 23:30:00,328.8,2.0,74.0,0.4,328.8,2.0,1.6,0.8,1.6,0.6,0.8,0.2,33.0,0.0,43.0,85.0,2017-11-23 17:30:00+00:00,Ford Field,"Detroit, MI",66613.0,64500,100.0,1,11,23,3,17,30,0.0,1.0
806,2017,2,Texans,Bengals,13,9,400951620,-4,0,1,Texans,2017_02_Bengals_Texans,Marvin Lewis,Bill O'Brien,Home,cloudy,69,78,2,2017-09-15 00:25:00+00:00,Bengals,4 days 07:25:00,,,,,,,,,,,,,,,,,2017-09-15 00:25:00+00:00,Paycor Stadium,"Cincinnati, OH",52942.0,65515,81.0,1,9,15,4,0,25,0.0,2.0
810,2017,12,Saints,Rams,20,26,400951614,6,1,0,Rams,2017_12_Rams_Saints,Sean McVay,Sean Payton,Home,sunny,72,56,1,2017-11-26 21:25:00+00:00,Rams,7 days 03:25:00,251.2,1.8,130.0,1.0,251.2,1.8,0.8,0.8,2.6,0.0,1.2,0.0,50.2,0.2,29.2,80.0,2017-11-26 21:25:00+00:00,Los Angeles Memorial Coliseum,"Los Angeles, CA",62006.0,77500,80.0,1,11,26,6,21,25,1.0,0.0
814,2017,12,Broncos,Raiders,14,21,400951629,7,1,0,Raiders,2017_12_Raiders_Broncos,Jack Del Rio,Vance Joseph,Home,cloudy,61,95,13,2017-11-26 21:25:00+00:00,Broncos,7 days 00:00:00,217.6,0.8,102.2,0.4,217.6,0.8,1.6,0.4,1.8,0.2,0.2,0.0,80.4,0.0,23.0,70.0,2017-11-26 21:25:00+00:00,Oakland Coliseum,"Oakland, CA",54994.0,55997,98.0,1,11,26,6,21,25,0.0,7.0
818,2017,12,Seahawks,49ers,24,13,400951618,-11,0,1,Seahawks,2017_12_49ers_Seahawks,Kyle Shanahan,Pete Carroll,Home,cloudy,66,68,12,2017-11-26 21:05:00+00:00,49ers,13 days 23:40:00,252.6,0.8,106.2,1.2,252.6,0.8,1.2,0.6,1.4,0.0,0.6,0.0,29.0,0.0,18.2,80.0,2017-11-26 21:05:00+00:00,Levi's Stadium,"Santa Clara, CA",70134.0,68500,100.0,1,11,26,6,21,5,0.0,1.0
822,2017,12,Bears,Eagles,3,31,400951610,28,1,0,Eagles,2017_12_Eagles_Bears,Doug Pederson,John Fox,Home,sunny,49,42,17,2017-11-26 18:00:00+00:00,Bears,7 days 00:00:00,176.2,0.8,146.6,0.6,176.2,0.8,1.2,1.0,3.2,0.6,0.8,0.4,79.8,0.0,14.8,73.34,2017-11-26 18:00:00+00:00,Lincoln Financial Field,"Philadelphia, PA",69596.0,69879,100.0,1,11,26,6,18,0,0.0,4.0
826,2017,13,Steelers,Bengals,23,20,400951754,-3,0,1,Steelers,2017_13_Bengals_Steelers,Marvin Lewis,Mike Tomlin,Home,cloudy,68,61,5,2017-12-05 01:30:00+00:00,Bengals,8 days 07:30:00,202.4,1.8,68.2,0.6,202.4,1.8,1.6,0.4,3.0,0.2,0.6,0.2,40.8,0.0,21.8,30.0,2017-12-05 01:30:00+00:00,Paycor Stadium,"Cincinnati, OH",56029.0,65515,86.0,1,12,5,1,1,30,0.0,1.0
830,2017,1,Eagles,Washington,30,17,400951592,-13,0,1,Eagles,2017_01_Washington_Eagles,Jay Gruden,Doug Pederson,Home,sunny,67,54,5,2017-09-10 17:00:00+00:00,Eagles,,,,,,,,,,,,,,,,,,2017-09-10 17:00:00+00:00,FedExField,"Landover, MD",78685.0,67617,100.0,1,9,10,6,17,0,1.0,0.0
832,2017,12,Panthers,Jets,35,27,400951606,-8,0,1,Panthers,2017_12_Jets_Panthers,Todd Bowles,Ron Rivera,Home,sunny,47,42,23,2017-11-26 18:00:00+00:00,Jets,14 days 00:00:00,244.4,1.8,91.8,0.8,244.4,1.8,1.6,1.2,2.4,0.0,0.8,0.0,49.6,0.0,7.8,70.0,2017-11-26 18:00:00+00:00,MetLife Stadium,"East Rutherford, NJ",77562.0,82500,94.0,1,11,26,6,18,0,0.0,2.0
836,2017,12,Bills,Chiefs,16,10,400951595,-6,0,1,Bills,2017_12_Chiefs_Bills,Andy Reid,Sean McDermott,Home,cloudy,62,36,9,2017-11-26 18:00:00+00:00,Bills,6 days 20:55:00,215.4,1.2,128.8,1.4,215.4,1.2,1.6,1.0,0.6,0.2,0.6,0.0,56.0,0.0,7.6,75.0,2017-11-26 18:00:00+00:00,GEHA Field at Arrowhead Stadium,"Kansas City, MO",74929.0,72936,100.0,1,11,26,6,18,0,1.0,0.0
840,2017,12,Titans,Colts,20,16,400951591,-4,0,1,Titans,2017_12_Colts_Titans,Chuck Pagano,Mike Mularkey,Home,sunny,47,51,10,2017-11-26 18:00:00+00:00,Colts,14 days 00:00:00,235.0,1.4,91.8,0.0,235.0,1.4,0.8,1.0,1.6,0.2,0.4,0.2,60.6,0.0,12.2,80.0,2017-11-26 18:00:00+00:00,Lucas Oil Stadium,"Indianapolis, IN",62207.0,63000,99.0,1,11,26,6,18,0,0.0,2.0
844,2017,12,Browns,Bengals,16,30,400951588,14,1,0,Bengals,2017_12_Bengals_Browns,Marvin Lewis,Hue Jackson,Home,cloudy,46,52,3,2017-11-26 18:00:00+00:00,Bengals,6 days 20:35:00,187.6,1.8,52.0,0.4,187.6,1.8,1.8,0.4,2.2,0.2,0.6,0.2,48.0,0.0,19.6,10.0,2017-11-26 18:00:00+00:00,Paycor Stadium,"Cincinnati, OH",51710.0,65515,79.0,1,11,26,6,18,0,2.0,0.0
848,2017,12,Buccaneers,Falcons,20,34,400951586,14,1,0,Falcons,2017_12_Falcons_Buccaneers,Dan Quinn,Dirk Koetter,Home,cloudy,68,70,5,2017-11-26 18:00:00+00:00,Buccaneers,7 days 00:00:00,238.2,1.4,76.8,0.0,238.2,1.4,1.8,1.2,1.8,0.0,1.0,0.0,13.2,0.0,15.6,85.0,2017-11-26 18:00:00+00:00,Mercedes-Benz Stadium,"Atlanta, GA",71036.0,75000,95.0,1,11,26,6,18,0,0.0,1.0
852,2017,12,Giants,Washington,10,20,400951577,10,1,0,Redskins,2017_12_Washington_Giants,Jay Gruden,Ben McAdoo,Home,cloudy,33,67,0,2017-11-24 01:30:00+00:00,Giants,4 days 07:30:00,192.0,1.2,106.2,0.2,192.0,1.2,1.2,0.6,1.2,0.2,1.2,0.2,19.8,0.0,5.6,58.34,2017-11-24 01:30:00+00:00,FedExField,"Landover, MD",73210.0,67617,100.0,1,11,24,4,1,30,0.0,1.0
854,2017,12,Chargers,Cowboys,28,6,400951573,-22,0,1,Chargers,2017_12_Cowboys_Chargers,Jason Garrett,Anthony Lynn,Home,cloudy,68,70,5,2017-11-23 21:30:00+00:00,Chargers,4 days 00:25:00,236.4,1.6,110.0,0.8,236.4,1.6,1.2,0.6,2.6,0.4,2.0,0.2,33.6,0.0,19.6,46.0,2017-11-23 21:30:00+00:00,AT&T Stadium,"Arlington, TX",93012.0,100000,93.0,1,11,23,3,21,30,2.0,0.0
858,2017,12,Dolphins,Patriots,17,35,400951600,18,1,0,Patriots,2017_12_Patriots_Dolphins,Bill Belichick,Adam Gase,Home,cloudy,47,37,17,2017-11-26 18:00:00+00:00,Dolphins,7 days 00:00:00,278.2,2.2,73.4,0.2,278.2,2.2,1.4,0.4,1.0,0.0,0.4,0.0,56.2,0.0,12.6,60.0,2017-11-26 18:00:00+00:00,Gillette Stadium,"Foxboro, MA",65878.0,65878,100.0,1,11,26,6,18,0,0.0,5.0
862,2017,1,Raiders,Titans,26,16,400951584,-10,0,1,Raiders,2017_01_Titans_Raiders,Mike Mularkey,Jack Del Rio,Home,sunny,72,50,7,2017-09-10 17:00:00+00:00,Raiders,,,,,,,,,,,,,,,,,,2017-09-10 17:00:00+00:00,Nissan Stadium,"Nashville, TN",69089.0,69143,100.0,1,9,10,6,17,0,1.0,0.0
866,2017,11,Lions,Bears,27,24,400951701,-3,0,1,Lions,2017_11_Bears_Lions,John Fox,Jim Caldwell,Home,cloudy,33,60,16,2017-11-19 18:00:00+00:00,Bears,7 days 00:00:00,173.6,1.0,125.2,0.2,173.6,1.0,1.2,0.8,3.4,0.6,0.8,0.4,67.2,0.0,17.4,63.34,2017-11-19 18:00:00+00:00,Soldier Field,"Chicago, IL",60635.0,61500,99.0,1,11,19,6,18,0,0.0,3.0
870,2017,1,Steelers,Browns,21,18,400951574,-3,0,1,Steelers,2017_01_Browns_Steelers,Hue Jackson,Mike Tomlin,Home,sunny,63,53,11,2017-09-10 17:00:00+00:00,Browns,,,,,,,,,,,,,,,,,,2017-09-10 17:00:00+00:00,FirstEnergy Stadium,"Cleveland, OH",67431.0,67431,100.0,1,9,10,6,17,0,0.0,1.0
874,2017,10,Dolphins,Panthers,21,45,400951693,24,1,0,Panthers,2017_10_Panthers_Dolphins,Ron Rivera,Adam Gase,Home,cloudy,49,66,6,2017-11-14 01:30:00+00:00,Dolphins,8 days 00:00:00,211.2,2.0,84.4,0.0,211.2,2.0,0.8,0.8,2.4,0.2,0.6,0.0,39.4,0.0,19.6,80.0,2017-11-14 01:30:00+00:00,Bank of America Stadium,"Charlotte, NC",72790.0,73778,99.0,1,11,14,1,1,30,0.0,3.0
878,2017,17,Bengals,Ravens,31,27,400951739,-4,0,1,Bengals,2017_17_Ravens_Bengals,John Harbaugh,Marvin Lewis,Home,cloudy,19,36,12,2017-12-31 21:25:00+00:00,Bengals,7 days 03:25:00,201.2,1.2,108.0,0.6,201.2,1.2,0.6,0.0,2.2,0.0,0.6,0.0,44.4,0.0,13.2,60.0,2017-12-31 21:25:00+00:00,M&T Bank Stadium,"Baltimore, MD",70507.0,70745,100.0,1,12,31,6,21,25,2.0,0.0
882,2017,17,Browns,Steelers,24,28,400951762,4,1,0,Steelers,2017_17_Steelers_Browns,Mike Tomlin,Hue Jackson,Home,snow,11,80,3,2017-12-31 18:00:00+00:00,Browns,7 days 00:00:00,205.0,0.8,120.0,0.4,205.0,0.8,1.4,0.0,1.8,0.0,0.0,0.0,56.2,0.0,14.0,75.0,2017-12-31 18:00:00+00:00,Acrisure Stadium,"Pittsburgh, PA",50704.0,68400,74.0,1,12,31,6,18,0,0.0,16.0
886,2017,17,Cardinals,Seahawks,26,24,400951793,-2,0,1,Cardinals,2017_17_Seahawks_Cardinals,Pete Carroll,Bruce Arians,Home,sunny,4,78,7,2017-12-31 21:25:00+00:00,Cardinals,7 days 00:00:00,211.8,1.0,115.4,0.2,211.8,1.0,1.4,0.8,2.0,0.2,1.2,0.0,27.6,0.0,30.0,86.0,2017-12-31 21:25:00+00:00,Lumen Field,"Seattle, WA",69078.0,68740,100.0,1,12,31,6,21,25,2.0,0.0
890,2017,17,Raiders,Chargers,10,30,400951791,20,1,0,Chargers,2017_17_Chargers_Raiders,Anthony Lynn,Jack Del Rio,Home,cloudy,62,70,2,2017-12-31 21:25:00+00:00,Chargers,7 days 03:25:00,323.4,1.6,107.2,0.6,323.4,1.6,1.0,0.6,2.2,0.2,1.0,0.2,27.8,0.0,18.2,46.0,2017-12-31 21:25:00+00:00,Dignity Health Sports Park,"Carson, CA",25430.0,27000,94.0,1,12,31,6,21,25,2.0,0.0
894,2017,17,Bills,Dolphins,22,16,400951748,-6,0,1,Bills,2017_17_Dolphins_Bills,Adam Gase,Sean McDermott,Home,cloudy,71,66,9,2017-12-31 21:25:00+00:00,Bills,7 days 03:25:00,179.0,0.6,142.8,0.6,179.0,0.6,1.0,0.0,2.0,0.2,1.2,0.2,38.0,0.0,12.6,70.0,2017-12-31 21:25:00+00:00,Hard Rock Stadium,"Miami Gardens, FL",65571.0,64767,100.0,1,12,31,6,21,25,1.0,0.0
898,2017,17,49ers,Rams,34,13,400951792,-21,0,1,49ers,2017_17_Rams_49ers,Sean McVay,Kyle Shanahan,Home,sunny,67,43,3,2017-12-31 21:25:00+00:00,49ers,7 days 00:20:00,293.8,1.0,95.6,0.8,293.8,1.0,0.4,0.4,1.4,0.2,0.8,0.2,32.6,0.0,16.4,100.0,2017-12-31 21:25:00+00:00,Los Angeles Memorial Coliseum,"Los Angeles, CA",66125.0,77500,85.0,1,12,31,6,21,25,5.0,0.0
902,2017,10,Patriots,Broncos,41,16,400951690,-25,0,1,Patriots,2017_10_Broncos_Patriots,Vance Joseph,Bill Belichick,Home,cloudy,48,40,5,2017-11-13 01:30:00+00:00,Broncos,7 days 07:30:00,237.2,0.8,94.0,0.2,237.2,0.8,2.2,0.4,2.4,0.2,0.4,0.0,71.0,0.0,32.6,61.66,2017-11-13 01:30:00+00:00,Empower Field at Mile High,"Denver, CO",76820.0,76125,100.0,1,11,13,0,1,30,0.0,5.0
906,2017,17,Jaguars,Titans,10,15,400951788,5,1,0,Titans,2017_17_Titans_Jaguars,Mike Mularkey,Doug Marrone,Home,cloudy,23,45,5,2017-12-31 21:25:00+00:00,Jaguars,7 days 00:20:00,294.8,1.8,114.6,1.8,294.8,1.8,1.2,0.2,2.4,0.2,1.6,0.0,55.8,0.0,28.6,100.0,2017-12-31 21:25:00+00:00,Nissan Stadium,"Nashville, TN",65501.0,69143,95.0,1,12,31,6,21,25,0.0,2.0
910,2017,17,Texans,Colts,13,22,400951745,9,1,0,Colts,2017_17_Colts_Texans,Chuck Pagano,Bill O'Brien,Home,sunny,9,66,7,2017-12-31 18:00:00+00:00,Colts,7 days 20:30:00,162.4,0.6,111.2,0.4,162.4,0.6,0.8,0.2,0.8,0.0,0.8,0.0,24.0,0.0,2.0,72.0,2017-12-31 18:00:00+00:00,Lucas Oil Stadium,"Indianapolis, IN",60557.0,63000,96.0,1,12,31,6,18,0,1.0,0.0
914,2017,17,Bears,Vikings,10,23,400951750,13,1,0,Vikings,2017_17_Vikings_Bears,Mike Zimmer,John Fox,Home,indoor,68,70,5,2017-12-31 18:00:00+00:00,Bears,7 days 00:00:00,205.4,0.6,88.0,1.2,205.4,0.6,1.2,1.2,2.2,0.0,0.8,0.0,42.4,0.0,20.8,50.0,2017-12-31 18:00:00+00:00,U.S. Bank Stadium,"Minneapolis, MN",66802.0,66468,100.0,1,12,31,6,18,0,0.0,1.0
918,2017,1,Cardinals,Lions,23,35,400951576,12,1,0,Lions,2017_01_Lions_Cardinals,Jim Caldwell,Bruce Arians,Home,indoor,68,70,5,2017-09-10 17:00:00+00:00,Cardinals,,,,,,,,,,,,,,,,,,2017-09-10 17:00:00+00:00,Ford Field,"Detroit, MI",60957.0,64500,95.0,1,9,10,6,17,0,0.0,1.0
922,2017,17,Jets,Patriots,6,26,400951756,20,1,0,Patriots,2017_17_Patriots_Jets,Bill Belichick,Todd Bowles,Home,cloudy,13,42,14,2017-12-31 18:00:00+00:00,Jets,7 days 00:00:00,199.2,1.0,129.2,1.0,199.6,1.0,1.0,0.4,1.4,0.0,0.2,0.0,45.4,0.0,7.2,60.0,2017-12-31 18:00:00+00:00,Gillette Stadium,"Foxboro, MA",65878.0,65878,100.0,1,12,31,6,18,0,0.0,4.0
926,2017,17,Washington,Giants,10,18,400951757,8,1,0,Giants,2017_17_Giants_Washington,Steve Spagnuolo,Jay Gruden,Home,cloudy,16,42,16,2017-12-31 18:00:00+00:00,Giants,6 days 20:35:00,250.0,1.0,73.8,0.4,250.0,1.0,1.2,0.2,2.0,0.2,0.6,0.2,56.4,0.0,8.2,70.0,2017-12-31 18:00:00+00:00,MetLife Stadium,"East Rutherford, NJ",76269.0,82500,92.0,1,12,31,6,18,0,1.0,0.0
928,2017,17,Chiefs,Broncos,27,24,400951789,-3,0,1,Chiefs,2017_17_Broncos_Chiefs,Vance Joseph,Andy Reid,Home,cloudy,17,76,4,2017-12-31 21:25:00+00:00,Broncos,7 days 03:25:00,208.8,1.0,122.6,0.6,208.8,1.0,1.6,0.8,1.8,0.2,0.8,0.2,15.6,0.0,17.0,65.0,2017-12-31 21:25:00+00:00,Empower Field at Mile High,"Denver, CO",75928.0,76125,100.0,1,12,31,6,21,25,0.0,2.0
932,2017,17,Panthers,Falcons,10,22,400951734,12,1,0,Falcons,2017_17_Falcons_Panthers,Dan Quinn,Ron Rivera,Home,cloudy,68,70,5,2017-12-31 21:25:00+00:00,Falcons,7 days 03:25:00,252.4,1.0,130.0,0.8,252.4,1.0,1.0,0.2,1.6,0.0,0.4,0.0,77.6,0.0,16.8,85.0,2017-12-31 21:25:00+00:00,Mercedes-Benz Stadium,"Atlanta, GA",74141.0,75000,99.0,1,12,31,6,21,25,1.0,0.0
936,2017,17,Packers,Lions,11,35,400951741,24,1,0,Lions,2017_17_Lions_Packers,Jim Caldwell,Mike McCarthy,Home,indoor,68,70,5,2017-12-31 18:00:00+00:00,Lions,7 days 00:00:00,277.4,1.4,72.4,1.0,277.4,1.4,1.4,0.6,2.0,0.0,1.2,0.0,59.0,0.0,21.2,70.0,2017-12-31 18:00:00+00:00,Ford Field,"Detroit, MI",62501.0,64500,97.0,1,12,31,6,18,0,1.0,0.0
940,2017,10,Giants,49ers,21,31,400951688,10,1,0,49ers,2017_10_49ers_Giants,Kyle Shanahan,Ben McAdoo,Home,sunny,68,46,5,2017-11-12 21:25:00+00:00,49ers,7 days 00:20:00,265.6,0.8,82.2,0.8,265.6,0.8,1.4,0.4,1.6,0.0,0.8,0.0,36.2,0.0,13.6,80.0,2017-11-12 21:25:00+00:00,Levi's Stadium,"Santa Clara, CA",70133.0,68500,100.0,1,11,12,6,21,25,1.0,0.0
944,2017,17,Saints,Buccaneers,24,31,400951764,7,1,0,Buccaneers,2017_17_Buccaneers_Saints,Dirk Koetter,Sean Payton,Home,cloudy,71,49,3,2017-12-31 21:25:00+00:00,Buccaneers,7 days 03:25:00,300.8,1.6,108.4,0.6,300.8,1.6,2.2,0.4,1.0,0.0,0.8,0.0,39.6,0.0,8.4,56.0,2017-12-31 21:25:00+00:00,Raymond James Stadium,"Tampa, FL",55376.0,65828,84.0,1,12,31,6,21,25,1.0,0.0
948,2017,17,Cowboys,Eagles,6,0,400951759,-6,0,1,Cowboys,2017_17_Eagles_Cowboys,Doug Pederson,Jason Garrett,Home,sunny,19,30,17,2017-12-31 18:00:00+00:00,Cowboys,6 days 20:35:00,201.2,1.0,127.4,1.2,201.2,1.0,0.4,0.4,1.4,0.0,0.8,0.0,43.8,0.0,34.2,60.0,2017-12-31 18:00:00+00:00,Lincoln Financial Field,"Philadelphia, PA",69596.0,69879,100.0,1,12,31,6,18,0,1.0,0.0
952,2017,1,Ravens,Bengals,20,0,400951572,-20,0,1,Ravens,2017_01_Bengals_Ravens,Marvin Lewis,John Harbaugh,Home,sunny,68,43,9,2017-09-10 17:00:00+00:00,Bengals,,,,,,,,,,,,,,,,,,2017-09-10 17:00:00+00:00,Paycor Stadium,"Cincinnati, OH",55254.0,65515,84.0,1,9,10,6,17,0,0.0,1.0
956,2017,1,Falcons,Bears,23,17,400951570,-6,0,1,Falcons,2017_01_Bears_Falcons,John Fox,Dan Quinn,Home,sunny,64,57,10,2017-09-10 17:00:00+00:00,Bears,,,,,,,,,,,,,,,,,,2017-09-10 17:00:00+00:00,Soldier Field,"Chicago, IL",61857.0,61500,100.0,1,9,10,6,17,0,0.0,1.0
960,2017,1,Jets,Bills,12,21,400951567,9,1,0,Bills,2017_01_Bills_Jets,Sean McDermott,Todd Bowles,Home,cloudy,65,53,6,2017-09-10 17:00:00+00:00,Bills,,,,,,,,,,,,,,,,,,2017-09-10 17:00:00+00:00,Highmark Stadium,"Orchard Park, NY",68751.0,71621,96.0,1,9,10,6,17,0,1.0,0.0
964,2017,1,Chiefs,Patriots,42,27,400951566,-15,0,1,Chiefs,2017_01_Patriots_Chiefs,Bill Belichick,Andy Reid,Home,cloudy,63,77,8,2017-09-08 00:30:00+00:00,Chiefs,,,,,,,,,,,,,,,,,,2017-09-08 00:30:00+00:00,Gillette Stadium,"Foxboro, MA",65878.0,65878,100.0,1,9,8,4,0,30,1.0,0.0
968,2017,12,Packers,Steelers,28,31,400951633,3,1,0,Steelers,2017_12_Steelers_Packers,Mike Tomlin,Mike McCarthy,Home,cloudy,38,47,7,2017-11-27 01:30:00+00:00,Packers,7 days 07:30:00,191.6,0.4,113.2,1.0,191.6,0.4,1.6,0.4,2.0,0.0,0.8,0.0,71.4,0.0,11.8,55.0,2017-11-27 01:30:00+00:00,Acrisure Stadium,"Pittsburgh, PA",62147.0,68400,91.0,1,11,27,0,1,30,0.0,2.0
972,2017,10,Cowboys,Falcons,7,27,400951686,20,1,0,Falcons,2017_10_Falcons_Cowboys,Dan Quinn,Jason Garrett,Home,cloudy,68,70,5,2017-11-12 21:25:00+00:00,Cowboys,7 days 00:00:00,226.2,2.2,183.4,1.8,226.2,2.2,1.0,1.2,3.2,0.2,0.4,0.2,21.8,0.0,3.8,56.0,2017-11-12 21:25:00+00:00,Mercedes-Benz Stadium,"Atlanta, GA",73761.0,75000,98.0,1,11,12,6,21,25,0.0,1.0
976,2017,12,Texans,Ravens,16,23,400951640,7,1,0,Ravens,2017_12_Ravens_Texans,John Harbaugh,Bill O'Brien,Home,fair,5,60,1,2017-11-28 01:30:00+00:00,Ravens,8 days 07:30:00,189.4,1.2,98.8,0.2,189.4,1.2,1.4,0.8,3.2,0.4,1.4,0.4,77.4,0.2,38.2,93.34,2017-11-28 01:30:00+00:00,M&T Bank Stadium,"Baltimore, MD",70357.0,70745,99.0,1,11,28,1,1,30,2.0,0.0
980,2017,10,Texans,Rams,7,33,400951663,26,1,0,Rams,2017_10_Rams_Texans,Sean McVay,Bill O'Brien,Home,cloudy,68,63,5,2017-11-12 21:05:00+00:00,Rams,7 days 03:05:00,242.6,1.6,153.8,1.0,242.6,1.6,1.6,0.6,3.0,0.0,1.4,0.0,63.4,0.2,24.4,90.0,2017-11-12 21:05:00+00:00,Los Angeles Memorial Coliseum,"Los Angeles, CA",60032.0,77500,77.0,1,11,12,6,21,5,4.0,0.0
984,2018,11,Chiefs,Rams,51,54,401030972,3,1,0,Rams,2018_11_Rams_Chiefs,Sean McVay,Andy Reid,Home,cloudy,65,56,5,2018-11-20 01:15:00+00:00,Chiefs,8 days 07:15:00,327.4,3.4,119.6,0.8,327.4,3.4,0.6,0.4,3.2,0.2,1.0,0.2,75.0,0.0,7.2,90.0,2018-11-20 01:15:00+00:00,Los Angeles Memorial Coliseum,"Los Angeles, CA",77002.0,77500,99.0,1,11,20,1,1,15,0.0,1.0
988,2018,7,Titans,Chargers,19,20,401030792,1,1,0,Chargers,2018_07_Chargers_Titans,Anthony Lynn,Mike Vrabel,Neutral,sunny,66,75,6,2018-10-21 13:30:00+00:00,Chargers,6 days 20:30:00,257.2,2.4,140.2,1.2,257.2,2.4,1.4,0.4,3.0,0.0,1.6,0.0,31.2,0.0,36.2,88.34,2018-10-21 13:30:00+00:00,Wembley Stadium,London,84301.0,86000,98.0,1,10,21,6,13,30,4.0,0.0
992,2018,11,Vikings,Bears,20,25,401030903,5,1,0,Bears,2018_11_Bears_Vikings,Matt Nagy,Mike Zimmer,Home,cloudy,33,77,6,2018-11-19 01:20:00+00:00,Bears,7 days 07:20:00,271.8,2.2,119.0,1.6,271.8,2.2,1.0,1.0,2.4,0.4,1.6,0.2,30.0,0.0,24.8,50.0,2018-11-19 01:20:00+00:00,Soldier Field,"Chicago, IL",61651.0,61500,100.0,1,11,19,0,1,20,3.0,0.0
996,2018,11,Eagles,Saints,7,48,401030963,41,1,0,Saints,2018_11_Saints_Eagles,Sean Payton,Doug Pederson,Home,indoor,68,54,4,2018-11-18 21:25:00+00:00,Eagles,6 days 20:05:00,309.0,2.4,90.2,0.2,309.0,2.4,1.8,0.4,3.0,0.0,0.2,0.0,62.8,0.0,14.4,83.34,2018-11-18 21:25:00+00:00,Caesars Superdome,"New Orleans, LA",73042.0,73000,100.0,1,11,18,6,21,25,0.0,3.0
1000,2018,7,Patriots,Bears,38,31,401030832,-7,0,1,Patriots,2018_07_Bears_Patriots,Matt Nagy,Bill Belichick,Home,sunny,44,42,9,2018-10-21 17:00:00+00:00,Bears,7 days 00:00:00,252.2,2.2,130.0,0.6,252.2,2.2,1.0,0.8,3.6,0.4,2.0,0.4,15.2,0.0,29.2,75.0,2018-10-21 17:00:00+00:00,Soldier Field,"Chicago, IL",62389.0,61500,100.0,1,10,21,6,17,0,0.0,2.0
